schema,revision,dirty,adapter,records,repetition,api,pattern,configured_changes,observed_changes,total_ns,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,db_bytes_before,db_bytes_after,expected_records,observed_records,validated,error
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,100000,1,diff,clustered,1000,1000,1666459,600074.7693162569,,,,,4747264,4833280,100000,100000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,100000,1,merge,append,1000,2000,3089125,647432.5253914944,,,,,4747264,4882432,102000,102000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,100000,1,merge,random,1000,2000,273082709,7323.788486366598,,,,,4747264,17080320,100000,100000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,100000,1,merge,clustered,1000,2000,3946416,506788.94470324466,,,,,4747264,4919296,100000,100000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,100000,1,put,append,1000,1000,1607829583,621.9564626582692,1570500,2226167,3596791,4271417,4489296,22430880,101000,101000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,100000,1,put,random,1000,1000,2079355500,480.91824606230153,1751750,3611958,8232000,39993166,4489296,29108616,100000,100000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,100000,1,put,clustered,1000,1000,1795506834,556.94580553181,1675792,2422834,4262250,12554208,4489296,29110672,100000,100000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,100000,1,batch,append,1000,1000,3847708,259894.9816358206,,,,,4489296,4584056,101000,101000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,100000,1,batch,random,1000,1000,129768791,7706.0130736673045,,,,,4489296,8596936,100000,100000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,100000,1,batch,clustered,1000,1000,21461416,46595.24795568009,,,,,4489296,4596416,100000,100000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,100000,1,diff,append,1000,1000,3342375,299188.45132577885,,,,,4489296,4584056,101000,101000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,100000,1,diff,random,1000,1000,69685667,14350.153238828869,,,,,4489296,8596936,100000,100000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,100000,1,diff,clustered,1000,1000,1991042,502249.5758502332,,,,,4489296,4596416,100000,100000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,100000,1,merge,append,1000,2000,7770834,257372.63207527017,,,,,4489296,4715896,102000,102000,true,
