implementation,revision,records,phase,workload,operation,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_count,validated,run
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,mutation,clustered,point_read,100000,70080417,700.804,1426932.149,6ca617ea012d7c88,11500000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,mutation,clustered,range_scan,11500000,479670833,41.711,23974774.384,6ca617ea012d7c88,11500000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,fresh,append,write,10000000,146643060542,14664.306,68192.794,f7849416b3dcc750,10000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,fresh,append,point_read,100000,179319833,1793.198,557662.799,f7849416b3dcc750,10000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,fresh,append,range_scan,10000000,405306333,40.531,24672696.146,f7849416b3dcc750,10000000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,fresh,append,write,10000000,5582202125,558.220,1791407.723,f7849416b3dcc750,10000000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,fresh,append,point_read,100000,115480458,1154.805,865947.380,f7849416b3dcc750,10000000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,fresh,append,range_scan,10000000,375319375,37.532,26643974.881,f7849416b3dcc750,10000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,fresh,random,write,10000000,92623617291,9262.362,107963.825,4d41b1d77b2f6508,10000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,fresh,random,point_read,100000,157251875,1572.519,635922.465,4d41b1d77b2f6508,10000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,fresh,random,range_scan,10000000,388034000,38.803,25770937.598,4d41b1d77b2f6508,10000000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,fresh,random,write,10000000,10465942042,1046.594,955480.162,4d41b1d77b2f6508,10000000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,fresh,random,point_read,100000,114775250,1147.753,871267.978,4d41b1d77b2f6508,10000000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,fresh,random,range_scan,10000000,378413583,37.841,26426112.722,4d41b1d77b2f6508,10000000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,fresh,clustered,write,10000000,6673984916,667.398,1498355.199,6966fef6c9ae31a0,10000000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,fresh,clustered,point_read,100000,117750584,1177.506,849252.688,6966fef6c9ae31a0,10000000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,fresh,clustered,range_scan,10000000,379004166,37.900,26384934.249,6966fef6c9ae31a0,10000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,fresh,clustered,write,10000000,74362814083,7436.281,134475.815,6966fef6c9ae31a0,10000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,fresh,clustered,point_read,100000,180672417,1806.724,553487.918,6966fef6c9ae31a0,10000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,fresh,clustered,range_scan,10000000,402022875,40.202,24874206.474,6966fef6c9ae31a0,10000000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,mutation,append,write,3000000,1722970625,574.324,1741178.843,f87678739d7b42d0,13000000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,mutation,append,point_read,100000,35316000,353.160,2831577.755,f87678739d7b42d0,13000000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,mutation,append,range_scan,13000000,485958084,37.381,26751278.409,f87678739d7b42d0,13000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,mutation,append,write,3000000,13639844709,4546.615,219943.853,f87678739d7b42d0,13000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,mutation,append,point_read,100000,67029250,670.293,1491886.005,f87678739d7b42d0,13000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,mutation,append,range_scan,13000000,509949541,39.227,25492718.308,f87678739d7b42d0,13000000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,mutation,random,write,3000000,9694104375,3231.368,309466.443,e6dbf9a1f5bf1fbb,11500000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,mutation,random,point_read,100000,143260291,1432.603,698030.133,e6dbf9a1f5bf1fbb,11500000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,mutation,random,range_scan,11500000,448528375,39.002,25639403.527,e6dbf9a1f5bf1fbb,11500000,true,2
