profile,records,workload,runs,operations,original_total_ns,current_total_ns,latency_delta_pct,latency_class,original_min_ns,original_max_ns,current_min_ns,current_max_ns,original_ns_per_op,current_ns_per_op,original_ops_per_sec,current_ops_per_sec,original_peak_rss,current_peak_rss,rss_delta_pct,memory_regression,original_fixture_bytes,current_fixture_bytes,fixture_delta_pct,size_regression,original_nodes_read,current_nodes_read,original_nodes_written,current_nodes_written,original_bytes_read,current_bytes_read,original_bytes_written,current_bytes_written,io_regression,original_tree_bytes,current_tree_bytes,original_node_payload,current_node_payload,original_num_nodes,current_num_nodes,original_height,current_height,original_entries,current_entries
full,10000,clustered_conflict_resolved_merge,5,50,356792,169417,-52.517,noise-sensitive,353000,2533042,160667,218000,7135.840,3388.340,140137.671,295129.769,7995392,7028736,-12.090,false,528384,503808,-4.651,false,6,6,0,0,46026,14079,0,0,false,414221,416075,444905,425461,40,39,1,1,10000,10000
full,10000,clustered_delete_diff,5,100,3492084,374875,-89.265,noise-sensitive,3372375,9688000,356625,556542,34920.840,3748.750,28636.195,266755.585,10125312,7569408,-25.243,false,544768,552960,1.504,false,43,9,0,0,433672,64713,0,0,false,410108,411838,433672,446313,40,38,1,1,9900,9900
full,10000,clustered_disjoint_sparse_merge,5,100,744166,432625,-41.864,noise-sensitive,701459,1205375,377250,706834,7441.660,4326.250,134378.620,231147.067,8060928,7340032,-8.943,false,557056,548864,-1.471,false,6,6,2,2,46026,14079,15342,4693,false,414221,416075,468469,454915,40,39,1,1,10000,10000
full,10000,clustered_reads_cold_manager,5,1000000,629306334,425807709,-32.337,material gain,609023500,703161583,411121042,489135541,629.306,425.808,1589051.224,2348477.914,5881856,5685248,-3.343,false,516096,516096,0.000,false,40,39,0,0,414221,416075,0,0,false,414221,416075,414221,416075,40,39,1,1,10000,10000
full,10000,clustered_reads_warm_manager,5,1000000,631265875,419731000,-33.510,material gain,603755667,698792750,416837333,482055542,631.266,419.731,1584118.578,2382478.302,5865472,5652480,-3.631,false,516096,516096,0.000,false,0,0,0,0,0,0,0,0,false,414221,416075,414221,416075,40,39,1,1,10000,10000
full,10000,clustered_sparse_diff,5,100,318125,235125,-26.090,noise-sensitive,290375,339959,232875,290959,3181.250,2351.250,314341.847,425305.688,7585792,7127040,-6.048,false,544768,552960,1.504,false,6,8,0,0,47128,58908,0,0,true,414221,416075,437785,445529,40,39,1,1,10000,10000
full,10000,identical_diff,5,1,1459,1542,5.689,noise-sensitive,1334,2250,1500,1583,1459.000,1542.000,685400.960,648508.431,7110656,6520832,-8.295,false,516096,516096,0.000,false,0,0,0,0,0,0,0,0,false,414221,416075,414221,416075,40,39,1,1,10000,10000
full,10000,random_batch_deletes,5,100,7365291,5772917,-21.620,noise-sensitive,6820125,15619084,5580250,12229333,73652.910,57729.170,13577.196,17322.265,10436608,10076160,-3.454,false,921600,937984,1.778,false,35,40,35,36,381623,417677,377523,397649,true,410121,411972,791744,813724,40,39,1,1,9900,9900
full,10000,random_batch_updates,5,100,7392334,5293708,-28.389,material gain,7097709,20443875,4973625,10511083,73923.340,52937.080,13527.527,18890.351,10567680,10289152,-2.636,false,921600,925696,0.444,false,35,35,35,35,381623,390152,381623,390152,false,414221,416075,795844,806227,40,39,1,1,10000,10000
full,10000,random_conflict_resolved_merge,5,50,5906958,2998459,-49.239,material gain,5598334,6124125,2883709,3185417,118139.160,59969.180,8464.594,16675.232,12566528,11911168,-5.215,false,1228800,1282048,4.333,false,84,93,0,0,987885,1057785,0,0,true,414221,416075,1072811,1121265,40,39,1,1,10000,10000
full,10000,random_delete_diff,5,100,4133209,2860042,-30.803,material gain,3965167,4806792,2765584,3222750,41332.090,28600.420,24194.276,34964.522,10911744,10371072,-4.955,false,954368,970752,1.717,false,70,72,0,0,759146,799401,0,0,true,410121,411972,791744,813724,40,39,1,1,9900,9900
full,10000,random_disjoint_sparse_merge,5,100,515666,644541,24.992,noise-sensitive,466875,661875,628750,694792,5156.660,6445.410,193923.974,155149.168,9125888,8732672,-4.309,false,942080,978944,3.913,false,6,6,2,2,29250,68220,9750,22740,true,414221,416075,815344,851707,40,39,1,1,10000,10000
full,10000,random_reads_cold_manager,5,1000000,627196500,436089875,-30.470,material gain,608902709,705725625,416686083,481249208,627.197,436.090,1594396.652,2293105.292,6062080,5832704,-3.784,false,516096,516096,0.000,false,40,39,0,0,414221,416075,0,0,false,414221,416075,414221,416075,40,39,1,1,10000,10000
