implementation,revision,contract_version,records,density,locality,operation,relationship,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_digest,result_count,base_count,target_count,conflict_count,validated,repetition,peak_rss_bytes
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,patch_generate,compare,300000,542,0.002,553505535055.351,b8581c4db720b358,9859f2ba1e7c81aa,1,1000000,1000000,0,true,2,809107456
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,patch_apply,compare,300000,2959,0.010,101385603244.339,b8581c4db720b358,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,2,809107456
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,merge_disjoint,disjoint,600000,21505292,35.842,27900109.424,897a3fbe27f9f716,8e22fd33ee81d821,1000000,1000000,1000000,0,true,2,809107456
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,merge_convergent,convergent,300000,458,0.002,655021834061.135,bcaf8c1118d450b7,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,2,809107456
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,merge_conflict,conflict,300000,25699500,85.665,11673378.860,848bd73f067f1244,f31be0f6a00d4d78,1000000,1000000,1000000,300000,true,2,809107456
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,full_diff,compare,300000,86388542,287.962,3472682.755,b8581c4db720b358,9859f2ba1e7c81aa,300000,1000000,1000000,0,true,2,713588736
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,range_diff,compare,33000,8959500,271.500,3683241.252,b8581c4db720b358,d55eb157d861d079,33000,1000000,1000000,0,true,2,713588736
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,patch_generate,compare,300000,13292,0.044,22569966897.382,b8581c4db720b358,9859f2ba1e7c81aa,3,1000000,1000000,0,true,2,713588736
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,patch_apply,compare,300000,28958,0.097,10359831480.075,b8581c4db720b358,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,2,713588736
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,merge_disjoint,disjoint,600000,99027791,165.046,6058905.222,897a3fbe27f9f716,8e22fd33ee81d821,1000000,1000000,1000000,0,true,2,713588736
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,merge_convergent,convergent,300000,311208,1.037,963985501.658,bcaf8c1118d450b7,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,2,713588736
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,merge_conflict,conflict,300000,187462291,624.874,1600321.848,848bd73f067f1244,f31be0f6a00d4d78,1000000,1000000,1000000,300000,true,2,713588736
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,full_diff,compare,300000,43393625,144.645,6913457.910,f5bbffd2f90d5447,bac0c6cb54bcadb3,300000,1000000,1000000,0,true,2,1204715520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,range_diff,compare,32699,4297750,131.434,7608399.744,f5bbffd2f90d5447,b9dc4143db568235,32699,1000000,1000000,0,true,2,1204715520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,patch_generate,compare,300000,666,0.002,450450450450.450,f5bbffd2f90d5447,bac0c6cb54bcadb3,1,1000000,1000000,0,true,2,1204715520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,patch_apply,compare,300000,5167,0.017,58060770272.886,f5bbffd2f90d5447,52861eca8735cd56,1000000,1000000,1000000,0,true,2,1204715520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,merge_disjoint,disjoint,600000,309366667,515.611,1939446.178,3f9305d60a460d71,80e5593019e99ccd,1000000,1000000,1000000,0,true,2,1204715520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,merge_convergent,convergent,300000,583,0.002,514579759862.779,01cb4cf0226d997f,52861eca8735cd56,1000000,1000000,1000000,0,true,2,1204715520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,merge_conflict,conflict,300000,41900125,139.667,7159883.175,e50c0661870f2db7,52861eca8735cd56,1000000,1000000,1000000,300000,true,2,1204715520
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,random,full_diff,compare,300000,142573125,475.244,2104183.380,f5bbffd2f90d5447,bac0c6cb54bcadb3,300000,1000000,1000000,0,true,2,1290010624
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,random,range_diff,compare,32699,15524750,474.778,2106249.698,f5bbffd2f90d5447,b9dc4143db568235,32699,1000000,1000000,0,true,2,1290010624
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,random,patch_generate,compare,300000,14292,0.048,20990764063.812,f5bbffd2f90d5447,bac0c6cb54bcadb3,4,1000000,1000000,0,true,2,1290010624
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,random,patch_apply,compare,300000,40250,0.134,7453416149.068,f5bbffd2f90d5447,52861eca8735cd56,1000000,1000000,1000000,0,true,2,1290010624
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,random,merge_disjoint,disjoint,600000,512948625,854.914,1169707.785,3f9305d60a460d71,80e5593019e99ccd,1000000,1000000,1000000,0,true,2,1290010624
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,random,merge_convergent,convergent,300000,25626834,85.423,11706479.232,01cb4cf0226d997f,52861eca8735cd56,1000000,1000000,1000000,0,true,2,1290010624
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,random,merge_conflict,conflict,300000,337892583,1126.309,887856.127,e50c0661870f2db7,52861eca8735cd56,1000000,1000000,1000000,300000,true,2,1290010624
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,full_diff,compare,300000,17428958,58.097,17212732.970,a01bb8658abf9252,455045c6a9e6e6bb,300000,1000000,1300000,0,true,3,582123520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,range_diff,compare,129999,9199625,70.767,14130902.075,a01bb8658abf9252,5319ad9b0b1871fd,129999,1000000,1300000,0,true,3,582123520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,patch_generate,compare,300000,666,0.002,450450450450.450,a01bb8658abf9252,455045c6a9e6e6bb,1,1000000,1300000,0,true,3,582123520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,patch_apply,compare,300000,3500,0.012,85714285714.286,a01bb8658abf9252,d886014f8b9c5c5b,1300000,1000000,1300000,0,true,3,582123520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,merge_disjoint,disjoint,600000,631042,1.052,950808345.562,0c87257f77c523ff,1c05b4e58c497604,1600000,1000000,1600000,0,true,3,582123520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,merge_convergent,convergent,300000,208,0.001,1442307692307.692,5515de15f91a0423,d886014f8b9c5c5b,1300000,1000000,1300000,0,true,3,582123520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,merge_conflict,conflict,300000,13255250,44.184,22632541.823,be0eb92f59351401,d886014f8b9c5c5b,1300000,1000000,1300000,300000,true,3,582123520
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,full_diff,compare,300000,61991959,206.640,4839337.308,a01bb8658abf9252,455045c6a9e6e6bb,300000,1000000,1300000,0,true,3,741113856
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,range_diff,compare,129999,27277500,209.829,4765795.986,a01bb8658abf9252,5319ad9b0b1871fd,129999,1000000,1300000,0,true,3,741113856
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,patch_generate,compare,300000,92833,0.309,3231609449.226,a01bb8658abf9252,455045c6a9e6e6bb,2,1000000,1300000,0,true,3,741113856
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,patch_apply,compare,300000,95583,0.319,3138633439.001,a01bb8658abf9252,d886014f8b9c5c5b,1300000,1000000,1300000,0,true,3,741113856
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,merge_disjoint,disjoint,600000,547541,0.913,1095808350.425,0c87257f77c523ff,1c05b4e58c497604,1600000,1000000,1600000,0,true,3,741113856
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,merge_convergent,convergent,300000,83583,0.279,3589246617.135,5515de15f91a0423,d886014f8b9c5c5b,1300000,1000000,1300000,0,true,3,741113856
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,merge_conflict,conflict,300000,152789291,509.298,1963488.397,be0eb92f59351401,d886014f8b9c5c5b,1300000,1000000,1300000,300000,true,3,741113856
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,full_diff,compare,300000,34548375,115.161,8683476.430,b8581c4db720b358,9859f2ba1e7c81aa,300000,1000000,1000000,0,true,3,809091072
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,range_diff,compare,33000,4149791,125.751,7952207.714,b8581c4db720b358,d55eb157d861d079,33000,1000000,1000000,0,true,3,809091072
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,patch_generate,compare,300000,416,0.001,721153846153.846,b8581c4db720b358,9859f2ba1e7c81aa,1,1000000,1000000,0,true,3,809091072
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,patch_apply,compare,300000,3375,0.011,88888888888.889,b8581c4db720b358,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,3,809091072
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,merge_disjoint,disjoint,600000,21486917,35.812,27923968.804,897a3fbe27f9f716,8e22fd33ee81d821,1000000,1000000,1000000,0,true,3,809091072
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,merge_convergent,convergent,300000,250,0.001,1200000000000.000,bcaf8c1118d450b7,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,3,809091072
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,merge_conflict,conflict,300000,25861708,86.206,11600161.907,848bd73f067f1244,f31be0f6a00d4d78,1000000,1000000,1000000,300000,true,3,809091072
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,full_diff,compare,300000,87673791,292.246,3421775.157,b8581c4db720b358,9859f2ba1e7c81aa,300000,1000000,1000000,0,true,3,732463104
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,range_diff,compare,33000,17128417,519.043,1926622.875,b8581c4db720b358,d55eb157d861d079,33000,1000000,1000000,0,true,3,732463104
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,patch_generate,compare,300000,65333,0.218,4591860162.552,b8581c4db720b358,9859f2ba1e7c81aa,3,1000000,1000000,0,true,3,732463104
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,patch_apply,compare,300000,29375,0.098,10212765957.447,b8581c4db720b358,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,3,732463104
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,merge_disjoint,disjoint,600000,99252541,165.421,6045185.281,897a3fbe27f9f716,8e22fd33ee81d821,1000000,1000000,1000000,0,true,3,732463104
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,merge_convergent,convergent,300000,306833,1.023,977730557.013,bcaf8c1118d450b7,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,3,732463104
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,merge_conflict,conflict,300000,181620959,605.403,1651791.741,848bd73f067f1244,f31be0f6a00d4d78,1000000,1000000,1000000,300000,true,3,732463104
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,full_diff,compare,300000,39708209,132.361,7555112.848,f5bbffd2f90d5447,bac0c6cb54bcadb3,300000,1000000,1000000,0,true,3,1204715520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,range_diff,compare,32699,4425541,135.342,7388701.178,f5bbffd2f90d5447,b9dc4143db568235,32699,1000000,1000000,0,true,3,1204715520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,patch_generate,compare,300000,333,0.001,900900900900.901,f5bbffd2f90d5447,bac0c6cb54bcadb3,1,1000000,1000000,0,true,3,1204715520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,patch_apply,compare,300000,5000,0.017,60000000000.000,f5bbffd2f90d5447,52861eca8735cd56,1000000,1000000,1000000,0,true,3,1204715520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,merge_disjoint,disjoint,600000,295284292,492.140,2031940.121,3f9305d60a460d71,80e5593019e99ccd,1000000,1000000,1000000,0,true,3,1204715520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,merge_convergent,convergent,300000,625,0.002,480000000000.000,01cb4cf0226d997f,52861eca8735cd56,1000000,1000000,1000000,0,true,3,1204715520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,merge_conflict,conflict,300000,42766792,142.556,7014788.484,e50c0661870f2db7,52861eca8735cd56,1000000,1000000,1000000,300000,true,3,1204715520
