implementation,revision,records,phase,workload,operation,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_count,validated,run
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,50000,mutation,append,point_read,65000,242966875,3737.952,267526.180,3c499f1c4facc286,65000,true,1
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,50000,mutation,append,range_scan,65000,12010708,184.780,5411837.504,3c499f1c4facc286,65000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,50000,mutation,random,write,15000,28283375,1885.558,530346.891,fe19475bee4bebd1,57500,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,50000,mutation,random,point_read,65000,38520667,592.626,1687405.880,fe19475bee4bebd1,57500,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,50000,mutation,random,range_scan,57500,1306750,22.726,44002295.772,fe19475bee4bebd1,57500,true,1
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,50000,mutation,random,write,15000,35297625,2353.175,424957.770,fe19475bee4bebd1,57500,true,1
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,50000,mutation,random,point_read,65000,382692917,5887.583,169848.976,fe19475bee4bebd1,57500,true,1
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,50000,mutation,random,range_scan,57500,10419125,181.202,5518697.587,fe19475bee4bebd1,57500,true,1
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,50000,mutation,clustered,write,15000,10947666,729.844,1370155.063,3f4faf6738a21a14,57500,true,1
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,50000,mutation,clustered,point_read,65000,227158292,3494.743,286144.078,3f4faf6738a21a14,57500,true,1
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,50000,mutation,clustered,range_scan,57500,10736625,186.724,5355500.448,3f4faf6738a21a14,57500,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,50000,mutation,clustered,write,15000,13213167,880.878,1135231.243,3f4faf6738a21a14,57500,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,50000,mutation,clustered,point_read,65000,31328500,481.977,2074788.132,3f4faf6738a21a14,57500,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,50000,mutation,clustered,range_scan,57500,1231584,21.419,46687842.648,3f4faf6738a21a14,57500,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,50000,fresh,append,write,50000,43592833,871.857,1146977.532,bd7b883b605f8118,50000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,50000,fresh,append,point_read,50000,29162542,583.251,1714528.178,bd7b883b605f8118,50000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,50000,fresh,append,range_scan,50000,1117125,22.343,44757748.685,bd7b883b605f8118,50000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,50000,fresh,append,write,50000,28890625,577.812,1730665.224,bd7b883b605f8118,50000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,50000,fresh,append,point_read,50000,362697917,7253.958,137855.768,bd7b883b605f8118,50000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,50000,fresh,append,range_scan,50000,9920958,198.419,5039835.871,bd7b883b605f8118,50000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,50000,fresh,random,write,50000,63445041,1268.901,788083.658,ccbb2643dbf4bfa2,50000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,50000,fresh,random,point_read,50000,40130958,802.619,1245920.917,ccbb2643dbf4bfa2,50000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,50000,fresh,random,range_scan,50000,1040208,20.804,48067309.615,ccbb2643dbf4bfa2,50000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,50000,fresh,random,write,50000,44165917,883.318,1132094.687,ccbb2643dbf4bfa2,50000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,50000,fresh,random,point_read,50000,295452667,5909.053,169231.845,ccbb2643dbf4bfa2,50000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,50000,fresh,random,range_scan,50000,9283459,185.669,5385923.501,ccbb2643dbf4bfa2,50000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,50000,fresh,clustered,write,50000,32179166,643.583,1553800.369,205a94f559ff5dec,50000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,50000,fresh,clustered,point_read,50000,374892625,7497.852,133371.522,205a94f559ff5dec,50000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,50000,fresh,clustered,range_scan,50000,9424959,188.499,5305062.866,205a94f559ff5dec,50000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,50000,fresh,clustered,write,50000,51404125,1028.082,972684.585,205a94f559ff5dec,50000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,50000,fresh,clustered,point_read,50000,29898500,597.970,1672324.699,205a94f559ff5dec,50000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,50000,fresh,clustered,range_scan,50000,1039375,20.788,48105832.832,205a94f559ff5dec,50000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,50000,mutation,append,write,15000,8257917,550.528,1816438.698,3c499f1c4facc286,65000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,50000,mutation,append,point_read,65000,243457042,3745.493,266987.553,3c499f1c4facc286,65000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,50000,mutation,append,range_scan,65000,12142416,186.806,5353135.653,3c499f1c4facc286,65000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,50000,mutation,append,write,15000,16028541,1068.569,935830.654,3c499f1c4facc286,65000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,50000,mutation,append,point_read,65000,32211250,495.558,2017928.519,3c499f1c4facc286,65000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,50000,mutation,append,range_scan,65000,1489792,22.920,43630251.740,3c499f1c4facc286,65000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,50000,mutation,random,write,15000,36249583,2416.639,413797.864,fe19475bee4bebd1,57500,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,50000,mutation,random,point_read,65000,403789042,6212.139,160975.146,fe19475bee4bebd1,57500,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,50000,mutation,random,range_scan,57500,12384959,215.391,4642728.329,fe19475bee4bebd1,57500,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,50000,mutation,random,write,15000,41404000,2760.267,362283.837,fe19475bee4bebd1,57500,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,50000,mutation,random,point_read,65000,44729750,688.150,1453171.547,fe19475bee4bebd1,57500,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,50000,mutation,random,range_scan,57500,2826542,49.157,20342878.330,fe19475bee4bebd1,57500,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,50000,mutation,clustered,write,15000,15810459,1054.031,948739.059,3f4faf6738a21a14,57500,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,50000,mutation,clustered,point_read,65000,32058791,493.212,2027524.993,3f4faf6738a21a14,57500,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,50000,mutation,clustered,range_scan,57500,1201750,20.900,47846889.952,3f4faf6738a21a14,57500,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,50000,mutation,clustered,write,15000,11539209,769.281,1299915.791,3f4faf6738a21a14,57500,true,2
