implementation,revision,contract_version,records,density,locality,operation,relationship,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_digest,result_count,base_count,target_count,conflict_count,validated,repetition,peak_rss_bytes
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,1,random,patch_generate,compare,10000,17166,1.717,582546895.025,7bf3adbff4c874e1,1d42ace13d3e31bf,4,1000000,1000000,0,true,1,759791616
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,1,random,patch_apply,compare,10000,34542,3.454,289502634.474,7bf3adbff4c874e1,880c3d7c9c21aa69,1000000,1000000,1000000,0,true,1,759791616
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,1,random,merge_disjoint,disjoint,20000,153338458,7666.923,130430.423,8f3713996675d31b,e150d2b887ecaac2,1000000,1000000,1000000,0,true,1,759791616
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,1,random,merge_convergent,convergent,10000,376584,37.658,26554500.457,13292564efcd13d4,880c3d7c9c21aa69,1000000,1000000,1000000,0,true,1,759791616
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,1,random,merge_conflict,conflict,10000,78713334,7871.333,127043.278,0f0cd46e71472bcf,880c3d7c9c21aa69,1000000,1000000,1000000,10000,true,1,759791616
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,clustered,full_diff,compare,10000,906792,90.679,11027887.321,4c9c716f8c378df5,891abef031815643,10000,1000000,1000000,0,true,1,375029760
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,clustered,range_diff,compare,2000,185458,92.729,10784112.845,4c9c716f8c378df5,19ad14773022116b,2000,1000000,1000000,0,true,1,375029760
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,clustered,patch_generate,compare,10000,417,0.042,23980815347.722,4c9c716f8c378df5,891abef031815643,1,1000000,1000000,0,true,1,375029760
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,clustered,patch_apply,compare,10000,2250,0.225,4444444444.444,4c9c716f8c378df5,1c0ae14b10c9ea65,1000000,1000000,1000000,0,true,1,375029760
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,clustered,merge_disjoint,disjoint,20000,13982083,699.104,1430402.037,c96236c2e32f42fe,5dbfc3146c5d831b,1000000,1000000,1000000,0,true,1,375029760
