prolly proximity benchmark
revision=71aae3d6d3dd0df11b92959a1579188117d8e079
compiler=rustc 1.97.0 (2d8144b78 2026-07-07) | binary: rustc | commit-hash: 2d8144b7880597b6e6d3dfd63a9a9efae3f533d3 | commit-date: 2026-07-07 | host: aarch64-apple-darwin | release: 1.97.0 | LLVM version: 22.1.6
target_arch=aarch64
target_os=macos
store=memory
records=1000
profile=complete
search_repeats=30
metric=L2Squared
k=10
eligibility_ppm=1000000
turboquant_bits=4
rerank_multiplier=8
search_cache=warm
search_order=scalar-first
operation,dimensions,threads,micros,metric_a,metric_b
hnsw_search,1536,0,3733.542,192,212
composite_build,1536,0,4706.709,1,6486
composite_search,1536,0,15117.292,352,372
async_search,1536,0,8613.791,3,735
build,3072,2,95718.000,4975,1012
source_closure_bytes,3072,0,0.000,27788390,1021
search_exact_scalar,3072,0,2699.600,3,735
recall_exact,3072,0,0,1.000000,0
search_exact_simd,3072,0,2218.981,3,735
search_adaptive_sq8,3072,0,3105.179,6,1005
localized_mutation,3072,0,97302.166,6,738
content_graph_copy,3072,0,25338.750,1021,27788390
content_graph_gc_plan,3072,0,23222.750,1021,0
search_proof_generate,3072,0,30489.625,746,1021
search_proof_verify,3072,0,125872.000,746,10
turboquant_build,3072,2,62204.917,3072000,1544000
turboquant_build_resources,3072,2,0.000,1904512,61440000
turboquant_sidecar_bytes,3072,0,0.000,1549699,1544000
turboquant_manifest_code_bytes,3072,0,0.000,136,1549563
turboquant_search_scalar,3072,0,3752.000,1000,80
turboquant_search_scalar_p95,3072,0,3945.500,2528400,0
turboquant_search_scalar_p99,3072,0,4430.708,80,10862016
turboquant_search_scalar_work,3072,0,0.000,80,1
turboquant_recall,3072,0,0,1.000000,0.00941419735177133
turboquant_search_simd,3072,0,4097.167,1000,80
turboquant_search_simd_p95,3072,0,4229.916,2528400,0
turboquant_search_simd_p99,3072,0,4362.833,80,10862016
turboquant_search_simd_work,3072,0,0.000,80,1
turboquant_search_auto,3072,0,3790.375,1000,80
turboquant_search_auto_p95,3072,0,3949.791,2528400,0
turboquant_search_auto_p99,3072,0,3950.667,80,10862016
turboquant_search_auto_work,3072,0,0.000,80,1
pq_build,3072,2,134326.000,512000,1000
pq_sidecar_bytes,3072,0,0.000,209338,1000
pq_manifest_code_bytes,3072,0,0.000,196775,12563
pq_search,3072,0,586.083,80,80
pq_search_p95,3072,0,627.584,992400,0
pq_search_p99,3072,0,719.125,80,10862016
pq_search_work,3072,0,0.000,80,1
pq_recall,3072,0,0,1.000000,0
hnsw_build,3072,0,2479822.333,887380,17170
hnsw_search,3072,0,7054.375,191,211
composite_build,3072,0,9075.959,1,12630
composite_search,3072,0,27939.625,352,371
async_search,3072,0,16581.250,3,735
