prolly proximity benchmark
revision=d73477244539e21139003d4ca38a5c1f64528f9c
compiler=rustc 1.97.0 (2d8144b78 2026-07-07) | binary: rustc | commit-hash: 2d8144b7880597b6e6d3dfd63a9a9efae3f533d3 | commit-date: 2026-07-07 | host: aarch64-apple-darwin | release: 1.97.0 | LLVM version: 22.1.6
target_arch=aarch64
target_os=macos
store=memory
records=1000
profile=complete
search_repeats=30
metric=InnerProduct
k=10
eligibility_ppm=1000000
turboquant_bits=4
rerank_multiplier=8
search_cache=warm
search_order=scalar-first
operation,dimensions,threads,micros,metric_a,metric_b
turboquant_search_simd_p99,3072,0,15956.291,80,10862016
turboquant_search_simd_work,3072,0,0.000,80,1
pq_build,3072,2,164207.959,512000,1000
pq_sidecar_bytes,3072,0,0.000,209338,1000
pq_manifest_code_bytes,3072,0,0.000,196775,12563
pq_search,3072,0,592.792,80,80
pq_search_p95,3072,0,729.167,992400,0
pq_search_p99,3072,0,757.833,80,10862016
pq_search_work,3072,0,0.000,80,1
pq_recall,3072,0,0,1.000000,0
hnsw_build,3072,0,2689573.709,888143,17170
hnsw_search,3072,0,8672.459,191,211
composite_build,3072,0,11788.792,1,12630
composite_search,3072,0,34641.167,352,371
async_search,3072,0,27435.583,6,1000
