schema,revision,dirty,adapter,records,repetition,api,pattern,configured_changes,observed_changes,total_ns,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,db_bytes_before,db_bytes_after,expected_records,observed_records,validated,error
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,1000000,1,put,random,10000,10000,6126196084,1632.3343005812937,351000,599666,13061875,35117958,47177728,372719768,1000000,1000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,1000000,1,put,clustered,10000,10000,6804520084,1469.6113578257755,332917,1021833,13568333,60380750,47177728,382292000,1000000,1000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,1000000,1,batch,append,10000,10000,72613916,137714.6496272147,,,,,47177728,48112808,1010000,1010000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,1000000,1,batch,random,10000,10000,1168323500,8559.273180758582,,,,,47177728,136218064,1000000,1000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,1000000,1,batch,clustered,10000,10000,123777750,80789.9642706383,,,,,47177728,48162248,1000000,1000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,1000000,1,diff,append,10000,10000,8382833,1192914.1377383994,,,,,47177728,47677440,1010000,1010000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,1000000,1,diff,random,10000,10000,503942709,19843.525506785336,,,,,47177728,90165248,1000000,1000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,1000000,1,diff,clustered,10000,10000,11485458,870666.1937207902,,,,,47177728,47677440,1000000,1000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,1000000,1,merge,append,10000,20000,19130542,1045448.6861898634,,,,,47177728,48181248,1020000,1020000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,1000000,1,merge,random,10000,20000,8118974542,2463.365280496774,,,,,47177728,172195840,1000000,1000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,1000000,1,merge,clustered,10000,20000,6900209,2898462.9306155797,,,,,47177728,48259072,1000000,1000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,1000000,1,put,append,10000,10000,17838549792,560.5836862638166,1564167,2551167,8040584,43504917,44539984,239242152,1010000,1010000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,1000000,1,put,random,10000,10000,22780796750,438.966209555423,2076375,3275125,7912500,36252375,44539984,351462400,1000000,1000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,1000000,1,put,clustered,10000,10000,20989777542,476.4223908514638,1969042,2428042,7209167,24407125,44539984,334615312,1000000,1000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,1000000,1,batch,append,10000,10000,18658875,535937.9919743285,,,,,44539984,45145624,1010000,1010000,true,
