schema,records,api,pattern,repetitions,configured_changes,sqlite_latency_median_ns,sqlite_latency_min_ns,sqlite_latency_max_ns,sqlite_throughput_median_ops_sec,sqlite_throughput_min_ops_sec,sqlite_throughput_max_ops_sec,sqlite_p50_ns_median,sqlite_p95_ns_median,sqlite_p99_ns_median,sqlite_max_ns_median,turso_latency_median_ns,turso_latency_min_ns,turso_latency_max_ns,turso_throughput_median_ops_sec,turso_throughput_min_ops_sec,turso_throughput_max_ops_sec,turso_p50_ns_median,turso_p95_ns_median,turso_p99_ns_median,turso_max_ns_median,turso_over_sqlite_latency_ratio,turso_over_sqlite_throughput_ratio
sqlite-turso-local-v1,1000000,put,clustered,3,10000,6804520084.0,6216378291,7059867042,1469.6113578257755,1416.4572704427428,1608.6537099066,332917.0,919500.0,13568333.0,60380750.0,22410183667.0,20989777542,28227692334,446.2257047328643,354.2620445793612,476.4223908514638,1969042.0,4901833.0,7630084.0,24407125.0,3.2934260447984887,0.3036351769851829
sqlite-turso-local-v1,1000000,put,random,3,10000,6649473375.0,6126196084,6900502291,1503.878493234812,1449.1698688431027,1632.3343005812937,360333.0,639958.0,13516500.0,36824500.0,29069893958.0,22780796750,30628102125,343.99850286512697,326.4975400430561,438.966209555423,2458708.0,5506666.0,10770708.0,36252375.0,4.3717588324052805,0.2287408885841523
sqlite-turso-local-v1,2000000,batch,append,3,10000,137566167.0,91781458,827599041,72692.29213895304,12083.145949416343,108954.4687773428,,,,,21334167.0,20052209,23374333,468731.68284470635,427819.6943630434,498698.1733533697,,,,,0.1550829500105211,6.4481620960405905
sqlite-turso-local-v1,2000000,batch,clustered,3,10000,134645542.0,121686083,202122667,74269.07606046103,49474.90624591847,82178.66623252226,,,,,48874000.0,48594458,81667917,204607.76691083194,122447.10490167148,205784.7831125105,,,,,0.3629826823378972,2.7549523673118634
sqlite-turso-local-v1,2000000,batch,random,3,10000,2854887208.0,2789441625,3003385167,3502.7653533834464,3329.5762760887337,3584.9468619010804,,,,,2752552083.0,2732265958,3870853750,3632.9921100352162,2583.409409358336,3659.9658136208423,,,,,0.9641544069715836,1.0371782701704466
sqlite-turso-local-v1,2000000,diff,append,3,10000,12404750.0,10886375,13828917,806142.8081984724,723122.4252774096,918579.4169317151,,,,,5983833.0,5776375,6482084,1671169.633243441,1542713.7321885987,1731189.5436151566,,,,,0.48238239384106896,2.073044150797658
sqlite-turso-local-v1,2000000,diff,clustered,3,10000,12462583.0,11499166,12669750,802401.877684586,789281.5564632294,869628.2843468823,,,,,14304208.0,14189334,66880500,699094.9796032049,149520.4132744223,704754.7122366702,,,,,1.1477723357990877,0.8712529208188248
sqlite-turso-local-v1,2000000,diff,random,3,10000,865387208.0,857826875,1744606125,11555.520936241988,5731.952821156122,11657.363847454651,,,,,2187644667.0,1646211125,2775769542,4571.1262669149,3602.6045565709287,6074.554987593101,,,,,2.5279373750576632,0.39557941975409483
sqlite-turso-local-v1,2000000,merge,append,3,10000,107802917.0,103848542,120274500,185523.73680203847,166286.2867856445,192588.16363546057,,,,,52016000.0,47055459,105904084,384497.0778222086,188850.1297079346,425030.3880788837,,,,,0.4825101346747417,2.0724953283605045
sqlite-turso-local-v1,2000000,merge,clustered,3,10000,8359791.0,7212542,10826542,2392404.3077153484,1847311.9117812503,2772947.4573596935,,,,,7749458.0,6611833,11400458,2580825.6525811222,1754315.4845182535,3024879.7874961453,,,,,0.9269918350829585,1.0787581531508397
