suite,target,records,api,pattern,pairs,samples_per_revision_pair,baseline_median_ns,candidate_median_ns,median_latency_change_pct,baseline_throughput,candidate_throughput,throughput_change_pct,baseline_p50_ns,candidate_p50_ns,p50_change_pct,baseline_p95_ns,candidate_p95_ns,p95_change_pct,paired_median_latency_change_pct,paired_median_latency_change_ns,paired_median_throughput_change_pct,paired_median_p50_change_pct,paired_median_p50_change_ns,paired_median_p95_change_pct,paired_median_p95_change_ns
local-adapters,rocksdb-sync,10000,build,append,5,3,3453375.0,3472666.0,0.558612951098563,2895717.9570709816,2879631.9599984563,-0.5555098014033213,3453375.0,3472666.0,0.558612951098563,3453375.0,3472666.0,0.558612951098563,-1.5347091634550605,-54126.0,1.5586295946687618,-1.5347091634550605,-54126.0,-1.5347091634550605,-54126.0
local-adapters,rocksdb-sync,10000,build,clustered,5,3,3966292.0,3992583.0,0.6628609290490968,2521246.5446316106,2504644.2365756705,-0.658496016238107,3966292.0,3992583.0,0.6628609290490968,3966292.0,3992583.0,0.6628609290490968,-0.23635434110886394,-9459.0,0.23691429833769861,-0.23635434110886394,-9459.0,-0.23635434110886394,-9459.0
local-adapters,rocksdb-sync,10000,build,random,5,3,3982458.0,4093625.0,2.791416758193056,2511012.043315962,2442822.6816085987,-2.715612690463826,3982458.0,4093625.0,2.791416758193056,3982458.0,4093625.0,2.791416758193056,2.00253210454448,79750.0,-1.9632180331484697,2.00253210454448,79750.0,2.00253210454448,79750.0
local-adapters,rocksdb-sync,10000,diff,append,5,3,10042.0,10375.0,3.3160724955188208,9958175.662218682,9638554.21686747,-3.209638554216883,10042.0,10375.0,3.3160724955188208,10042.0,10375.0,3.3160724955188208,2.897829117705636,291.0,-2.8162198780605907,2.897829117705636,291.0,2.897829117705636,291.0
local-adapters,rocksdb-sync,10000,diff,clustered,5,3,13875.0,13208.0,-4.807207207207207,7207207.207207208,7571168.988491823,5.049969715324038,13875.0,13208.0,-4.807207207207207,13875.0,13208.0,-4.807207207207207,-3.404081632653061,-417.0,3.5240429307867784,-3.404081632653061,-417.0,-3.404081632653061,-417.0
local-adapters,rocksdb-sync,10000,diff,random,5,3,804917.0,775250.0,-3.6857216334106497,124236.41195303366,128990.64817800709,3.8267655594969376,804917.0,775250.0,-3.6857216334106497,804917.0,775250.0,-3.6857216334106497,-5.783394479538382,-46125.0,6.138402511521566,-5.783394479538382,-46125.0,-5.783394479538382,-46125.0
local-adapters,rocksdb-sync,10000,merge,append,5,3,203875.0,205000.0,0.5518087063151441,980993.2556713672,975609.756097561,-0.548780487804868,203875.0,205000.0,0.5518087063151441,203875.0,205000.0,0.5518087063151441,0.8106395821589452,1625.0,-0.804121058569697,0.8106395821589452,1625.0,0.8106395821589452,1625.0
local-adapters,rocksdb-sync,10000,merge,clustered,5,3,99209.0,94750.0,-4.494551905573084,2015946.1339193017,2110817.9419525065,4.7060686015831115,99209.0,94750.0,-4.494551905573084,99209.0,94750.0,-4.494551905573084,-3.445251942868086,-3418.0,3.568184902548251,-3.445251942868086,-3418.0,-3.445251942868086,-3418.0
local-adapters,rocksdb-sync,10000,merge,random,5,3,2138375.0,2217125.0,3.682702987081312,93528.9647512714,90206.91210464003,-3.551897164120184,2138375.0,2217125.0,3.682702987081312,2138375.0,2217125.0,3.682702987081312,3.682702987081312,78750.0,-3.551897164120184,3.682702987081312,78750.0,3.682702987081312,78750.0
local-adapters,rocksdb-sync,10000,put,append,5,3,5991375.0,6018125.0,0.4464751413490226,16690.659489683087,16616.471076955033,-0.4444906013085425,59333.0,58750.0,-0.98258978983028,68833.0,69833.0,1.4527915389420771,-0.43353817661419314,-25750.0,0.43542591418306364,-1.810037938930022,-1083.0,1.4527915389420771,1000.0
