suite,target,records,api,pattern,pairs,samples_per_revision_pair,paired_median_latency_change_pct,paired_median_latency_change_ns,paired_median_throughput_change_pct,paired_median_p50_change_pct,paired_median_p50_change_ns,paired_median_p95_change_pct,paired_median_p95_change_ns,status,reasons
local-adapters,memory-sync,10000,build,append,5,3,2.386451116243264,77500.0,-2.3308270676691802,2.386451116243264,77500.0,2.386451116243264,77500.0,pass,
local-adapters,memory-sync,10000,build,clustered,5,3,0.40439358667497294,15417.0,-0.40276483152690234,0.40439358667497294,15417.0,0.40439358667497294,15417.0,pass,
local-adapters,memory-sync,10000,build,random,5,3,-2.608038151672524,-107374.0,2.6778782377688723,-2.608038151672524,-107374.0,-2.608038151672524,-107374.0,pass,
local-adapters,memory-sync,10000,diff,append,5,3,20.25190915402162,2042.0,-16.841237113402073,20.25190915402162,2042.0,20.25190915402162,2042.0,pass,
local-adapters,memory-sync,10000,diff,clustered,5,3,-2.0,-250.0,2.0408163265306154,-2.0,-250.0,-2.0,-250.0,pass,
local-adapters,memory-sync,10000,diff,random,5,3,-0.25046697812205787,-1833.0,0.25109589041096153,-0.25046697812205787,-1833.0,-0.25046697812205787,-1833.0,pass,
local-adapters,memory-sync,10000,merge,append,5,3,5.588719466569115,10083.0,-5.29291338582679,5.588719466569115,10083.0,5.588719466569115,10083.0,fail,median_latency_regression;median_throughput_regression
local-adapters,memory-sync,10000,merge,clustered,5,3,1.167528201471824,917.0,-1.154054292150681,1.167528201471824,917.0,1.167528201471824,917.0,pass,
local-adapters,memory-sync,10000,merge,random,5,3,1.561678772574613,32833.0,-1.5376653787612593,1.561678772574613,32833.0,1.561678772574613,32833.0,pass,
local-adapters,memory-sync,10000,put,append,5,3,0.6274123494745957,30750.0,-0.623500430772914,-0.6030939546027222,-292.0,4.368098603003633,2417.0,pass,
local-adapters,memory-sync,10000,put,clustered,5,3,1.6188975441517512,47916.0,-1.5931067776526104,0.8733624454148471,250.0,-1.303914590747331,-458.0,pass,
local-adapters,memory-sync,10000,put,random,5,3,-0.7138358177619147,-21250.0,0.7189680693592858,-3.406768956421592,-917.0,-2.024578835306862,-1084.0,pass,
local-adapters,memory-sync,10000,reopen,append,5,3,0.4807692307692308,1.0,-0.47846889952152377,0.4807692307692308,1.0,0.4807692307692308,1.0,pass,
local-adapters,memory-sync,10000,reopen,clustered,5,3,20.192307692307693,42.0,-16.79999999999999,20.192307692307693,42.0,20.192307692307693,42.0,pass,
local-adapters,memory-sync,10000,reopen,random,5,3,60.57692307692307,125.0,-37.72455089820358,60.57692307692307,125.0,60.57692307692307,125.0,pass,
local-adapters,rocksdb-sync,10000,batch,append,5,3,-0.736983669548511,-959.0,0.7424554449313273,-0.736983669548511,-959.0,-0.736983669548511,-959.0,pass,
local-adapters,rocksdb-sync,10000,batch,clustered,5,3,-0.6580976090373725,-875.0,0.6624572241906787,-0.6580976090373725,-875.0,-0.6580976090373725,-875.0,pass,
local-adapters,rocksdb-sync,10000,batch,random,5,3,-2.032145109884927,-32958.0,2.0742978522539532,-2.032145109884927,-32958.0,-2.032145109884927,-32958.0,pass,
local-adapters,rocksdb-sync,10000,build,append,5,3,-1.5347091634550605,-54126.0,1.5586295946687618,-1.5347091634550605,-54126.0,-1.5347091634550605,-54126.0,pass,
local-adapters,rocksdb-sync,10000,build,clustered,5,3,-0.23635434110886394,-9459.0,0.23691429833769861,-0.23635434110886394,-9459.0,-0.23635434110886394,-9459.0,pass,
local-adapters,rocksdb-sync,10000,build,random,5,3,2.00253210454448,79750.0,-1.9632180331484697,2.00253210454448,79750.0,2.00253210454448,79750.0,pass,
local-adapters,rocksdb-sync,10000,diff,append,5,3,2.897829117705636,291.0,-2.8162198780605907,2.897829117705636,291.0,2.897829117705636,291.0,pass,
local-adapters,rocksdb-sync,10000,diff,clustered,5,3,-3.404081632653061,-417.0,3.5240429307867784,-3.404081632653061,-417.0,-3.404081632653061,-417.0,pass,
local-adapters,rocksdb-sync,10000,diff,random,5,3,-5.783394479538382,-46125.0,6.138402511521566,-5.783394479538382,-46125.0,-5.783394479538382,-46125.0,pass,
local-adapters,rocksdb-sync,10000,merge,append,5,3,0.8106395821589452,1625.0,-0.804121058569697,0.8106395821589452,1625.0,0.8106395821589452,1625.0,pass,
local-adapters,rocksdb-sync,10000,merge,clustered,5,3,-3.445251942868086,-3418.0,3.568184902548251,-3.445251942868086,-3418.0,-3.445251942868086,-3418.0,pass,
local-adapters,rocksdb-sync,10000,merge,random,5,3,3.682702987081312,78750.0,-3.551897164120184,3.682702987081312,78750.0,3.682702987081312,78750.0,pass,
local-adapters,rocksdb-sync,10000,put,append,5,3,-0.43353817661419314,-25750.0,0.43542591418306364,-1.810037938930022,-1083.0,1.4527915389420771,1000.0,pass,
local-adapters,rocksdb-sync,10000,put,clustered,5,3,-1.3774669207120418,-53708.0,1.396706085012663,-1.762324362943558,-666.0,-4.332203389830509,-1917.0,pass,
local-adapters,rocksdb-sync,10000,put,random,5,3,3.053993425133554,116291.0,-2.9634886758194474,5.623977262940316,1959.0,0.9606236380934843,626.0,pass,
