implementation,revision,contract_version,records,phase,workload,operation,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_count,validated,repetition,peak_rss_bytes
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,mutation,clustered,write,3000,1886875,628.958,1589930.441,5caed8dbd3056277,11500,true,2,29097984
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,mutation,clustered,point_read,13000,4357500,335.192,2983362.020,5caed8dbd3056277,11500,true,2,29097984
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,mutation,clustered,range_scan,11500,243583,21.181,47211833.338,5caed8dbd3056277,11500,true,2,29097984
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,mutation,clustered,write,3000,1639750,546.583,1829547.187,5caed8dbd3056277,11500,true,2,8830976
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,mutation,clustered,point_read,13000,1191583,91.660,10909856.888,5caed8dbd3056277,11500,true,2,8830976
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,mutation,clustered,range_scan,11500,61500,5.348,186991869.919,5caed8dbd3056277,11500,true,2,8830976
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,fresh,append,write,10000,2808917,280.892,3560090.953,51f55fcd59187cbf,10000,true,3,6799360
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,fresh,append,point_read,10000,1430250,143.025,6991784.653,51f55fcd59187cbf,10000,true,3,6799360
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,fresh,append,range_scan,10000,45167,4.517,221400580.070,51f55fcd59187cbf,10000,true,3,6799360
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,fresh,append,write,10000,6185792,618.579,1616607.865,51f55fcd59187cbf,10000,true,3,30539776
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,fresh,append,point_read,10000,3675958,367.596,2720379.286,51f55fcd59187cbf,10000,true,3,30539776
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,fresh,append,range_scan,10000,204750,20.475,48840048.840,51f55fcd59187cbf,10000,true,3,30539776
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,fresh,random,write,10000,3344792,334.479,2989722.530,004197dd790a1245,10000,true,3,6815744
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,fresh,random,point_read,10000,1432042,143.204,6983035.414,004197dd790a1245,10000,true,3,6815744
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,fresh,random,range_scan,10000,48542,4.854,206007169.049,004197dd790a1245,10000,true,3,6815744
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,fresh,random,write,10000,7135708,713.571,1401402.636,004197dd790a1245,10000,true,3,30539776
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,fresh,random,point_read,10000,3678750,367.875,2718314.645,004197dd790a1245,10000,true,3,30539776
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,fresh,random,range_scan,10000,205000,20.500,48780487.805,004197dd790a1245,10000,true,3,30539776
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,fresh,clustered,write,10000,6308917,630.892,1585058.101,86e38047f6ae04b3,10000,true,3,30507008
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,fresh,clustered,point_read,10000,3664250,366.425,2729071.433,86e38047f6ae04b3,10000,true,3,30507008
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,fresh,clustered,range_scan,10000,204417,20.442,48919610.404,86e38047f6ae04b3,10000,true,3,30507008
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,fresh,clustered,write,10000,2825875,282.587,3538726.943,86e38047f6ae04b3,10000,true,3,6848512
