records,phase,workload,operation,contract_version,runs,rust_median_ns_per_op,rust_min_ns_per_op,rust_max_ns_per_op,rust_cv,rust_median_peak_rss_bytes,rust_max_peak_rss_bytes,dolt_go_median_ns_per_op,dolt_go_min_ns_per_op,dolt_go_max_ns_per_op,dolt_go_cv,dolt_go_median_peak_rss_bytes,dolt_go_max_peak_rss_bytes,winner,winner_speedup
5000000,fresh,append,write,prolly-compare-v1,3,272.293,267.269,277.987,0.016068,1369653248,1372504064,1028.678,1016.636,1038.721,0.008783,1868693504,1904230400,rust,3.777834
5000000,fresh,clustered,point_read,prolly-compare-v1,3,673.431,671.888,761.951,0.059932,1369669632,1373569024,1171.149,1155.235,1187.737,0.011329,2106032128,2109227008,rust,1.739077
5000000,fresh,clustered,range_scan,prolly-compare-v1,3,5.117,4.988,5.159,0.014276,1369669632,1373569024,34.198,33.834,35.014,0.014360,2106032128,2109227008,rust,6.682810
5000000,fresh,clustered,write,prolly-compare-v1,3,394.239,391.295,400.969,0.010237,1369669632,1373569024,861.234,853.986,899.676,0.023002,2106032128,2109227008,rust,2.184548
5000000,fresh,random,point_read,prolly-compare-v1,3,675.337,673.584,682.825,0.005917,1369489408,1372569600,1236.780,1197.855,1341.377,0.048148,5752389632,5835849728,rust,1.831352
5000000,fresh,random,range_scan,prolly-compare-v1,3,5.018,4.980,5.117,0.011484,1369489408,1372569600,36.632,36.168,37.830,0.018987,5752389632,5835849728,rust,7.300723
5000000,fresh,random,write,prolly-compare-v1,3,748.630,744.144,749.604,0.003181,1369489408,1372569600,2542.648,2482.981,2658.663,0.028477,5752389632,5835849728,rust,3.396399
5000000,mutation,append,point_read,prolly-compare-v1,3,125.594,125.555,125.650,0.000309,1645494272,1645543424,496.205,492.462,540.677,0.042960,1706033152,1706115072,rust,3.950873
5000000,mutation,append,range_scan,prolly-compare-v1,3,5.340,5.293,6.293,0.081618,1645494272,1645543424,34.054,33.765,41.085,0.093234,1706033152,1706115072,rust,6.376964
5000000,mutation,append,write,prolly-compare-v1,3,286.803,271.921,297.328,0.036527,1645494272,1645543424,1070.985,1059.982,1072.571,0.005243,1706033152,1706115072,rust,3.734214
5000000,mutation,clustered,point_read,prolly-compare-v1,3,111.807,111.586,112.652,0.004101,1915371520,1944862720,493.080,490.976,541.200,0.045623,1710702592,1712619520,rust,4.410117
5000000,mutation,clustered,range_scan,prolly-compare-v1,3,5.473,5.319,5.736,0.031304,1915371520,1944862720,35.898,34.721,38.786,0.046830,1710702592,1712619520,rust,6.558752
5000000,mutation,clustered,write,prolly-compare-v1,3,483.650,472.524,485.550,0.011955,1915371520,1944862720,730.561,727.399,737.292,0.005638,1710702592,1712619520,rust,1.510515
5000000,mutation,random,point_read,prolly-compare-v1,3,728.940,720.785,748.665,0.015972,3879239680,3880026112,1653.751,1610.959,1653.952,0.012332,6431965184,7727857664,rust,2.268708
5000000,mutation,random,range_scan,prolly-compare-v1,3,5.388,5.286,5.537,0.019049,3879239680,3880026112,38.692,36.864,39.120,0.025592,6431965184,7727857664,rust,7.180870
5000000,mutation,random,write,prolly-compare-v1,3,2110.098,2098.296,2110.136,0.002646,3879239680,3880026112,10058.776,9868.689,10283.257,0.016826,6431965184,7727857664,rust,4.766971
10000000,fresh,append,point_read,prolly-compare-v1,3,973.806,892.293,1034.309,0.060187,2722889728,2723414016,1745.676,1505.980,1775.106,0.071933,3779264512,3779280896,rust,1.792633
10000000,fresh,append,range_scan,prolly-compare-v1,3,6.128,5.950,6.336,0.025731,2722889728,2723414016,41.302,39.893,41.655,0.018587,3779264512,3779280896,rust,6.739758
10000000,fresh,append,write,prolly-compare-v1,3,284.259,269.494,286.666,0.027099,2722889728,2723414016,1078.917,1049.170,1094.121,0.017381,3779264512,3779280896,rust,3.795541
10000000,fresh,clustered,point_read,prolly-compare-v1,3,1052.953,977.017,1081.862,0.042626,2723233792,2723676160,1805.868,1782.151,1817.855,0.008233,4154408960,4161601536,rust,1.715052
10000000,fresh,clustered,range_scan,prolly-compare-v1,3,5.943,5.928,6.106,0.013404,2723233792,2723676160,42.326,42.048,42.604,0.005368,4154408960,4161601536,rust,7.121551
10000000,fresh,clustered,write,prolly-compare-v1,3,414.863,397.376,479.692,0.082225,2723233792,2723676160,928.817,912.686,962.795,0.022343,4154408960,4161601536,rust,2.238855
10000000,fresh,random,point_read,prolly-compare-v1,3,1042.014,987.325,1065.225,0.031659,2748334080,2751365120,1801.918,1772.918,1841.738,0.015625,18556862464,19328483328,rust,1.729265
10000000,fresh,random,range_scan,prolly-compare-v1,3,5.888,5.811,5.914,0.007498,2748334080,2751365120,45.227,45.136,46.131,0.009877,18556862464,19328483328,rust,7.681128
10000000,fresh,random,write,prolly-compare-v1,3,845.166,786.738,975.615,0.090840,2748334080,2751365120,7447.262,7188.184,8005.563,0.045192,18556862464,19328483328,rust,8.811593
10000000,mutation,append,point_read,prolly-compare-v1,3,135.575,133.157,135.887,0.009045,3289726976,3290185728,582.000,574.010,773.853,0.143608,3390865408,3390930944,rust,4.292824
10000000,mutation,append,range_scan,prolly-compare-v1,3,6.875,6.825,6.965,0.008435,3289726976,3290185728,43.320,40.700,66.202,0.228740,3390865408,3390930944,rust,6.301425
10000000,mutation,append,write,prolly-compare-v1,3,333.334,290.342,363.773,0.091519,3289726976,3290185728,1144.025,1142.602,1148.740,0.002291,3390865408,3390930944,rust,3.432067
10000000,mutation,clustered,point_read,prolly-compare-v1,3,122.241,115.667,123.716,0.029028,4222369792,4300242944,547.226,541.229,565.345,0.018596,3388375040,3393634304,rust,4.476609
10000000,mutation,clustered,range_scan,prolly-compare-v1,3,5.958,5.830,8.224,0.164827,4222369792,4300242944,41.183,40.789,41.731,0.009358,3388375040,3393634304,rust,6.912468
10000000,mutation,clustered,write,prolly-compare-v1,3,510.930,491.629,522.396,0.024976,4222369792,4300242944,768.617,768.308,770.095,0.001014,3388375040,3393634304,rust,1.504350
10000000,mutation,random,point_read,prolly-compare-v1,3,1043.201,1022.110,4444.968,0.741260,7736868864,8357625856,4633.052,2497.269,7533.387,0.422240,19261865984,19566395392,rust,4.441188
10000000,mutation,random,range_scan,prolly-compare-v1,3,6.049,5.941,19.519,0.607021,7736868864,8357625856,67.932,44.917,99.068,0.314126,19261865984,19566395392,rust,11.230607
10000000,mutation,random,write,prolly-compare-v1,3,2547.499,2421.407,2633.646,0.034392,7736868864,8357625856,12886.517,12821.069,13568.434,0.025813,19261865984,19566395392,rust,5.058498
