implementation,kind,records,repetition,operation,pattern,cache_state,exit_status,validation,peak_rss_bytes,json,stderr,time
rust,cell,1000000,3,batch,append,n/a,0,ok,552796160,raw/rust-cell-1000000-r3-batch-append.json,raw/rust-cell-1000000-r3-batch-append.stderr,raw/rust-cell-1000000-r3-batch-append.time
dolt-go,cell,1000000,3,batch,append,n/a,0,ok,164052992,raw/dolt-go-cell-1000000-r3-batch-append.json,raw/dolt-go-cell-1000000-r3-batch-append.stderr,raw/dolt-go-cell-1000000-r3-batch-append.time
dolt-go,cell,1000000,3,batch,random,n/a,0,ok,644268032,raw/dolt-go-cell-1000000-r3-batch-random.json,raw/dolt-go-cell-1000000-r3-batch-random.stderr,raw/dolt-go-cell-1000000-r3-batch-random.time
rust,cell,1000000,3,batch,random,n/a,0,ok,989560832,raw/rust-cell-1000000-r3-batch-random.json,raw/rust-cell-1000000-r3-batch-random.stderr,raw/rust-cell-1000000-r3-batch-random.time
rust,cell,1000000,3,batch,clustered,n/a,0,ok,472973312,raw/rust-cell-1000000-r3-batch-clustered.json,raw/rust-cell-1000000-r3-batch-clustered.stderr,raw/rust-cell-1000000-r3-batch-clustered.time
dolt-go,cell,1000000,3,batch,clustered,n/a,0,ok,279986176,raw/dolt-go-cell-1000000-r3-batch-clustered.json,raw/dolt-go-cell-1000000-r3-batch-clustered.stderr,raw/dolt-go-cell-1000000-r3-batch-clustered.time
dolt-go,cell,1000000,3,get_cold,append,cold-manager,0,ok,31375360,raw/dolt-go-cell-1000000-r3-get_cold-append.json,raw/dolt-go-cell-1000000-r3-get_cold-append.stderr,raw/dolt-go-cell-1000000-r3-get_cold-append.time
rust,cell,1000000,3,get_cold,append,cold-manager,0,ok,358924288,raw/rust-cell-1000000-r3-get_cold-append.json,raw/rust-cell-1000000-r3-get_cold-append.stderr,raw/rust-cell-1000000-r3-get_cold-append.time
rust,cell,1000000,3,get_cold,random,cold-manager,0,ok,358367232,raw/rust-cell-1000000-r3-get_cold-random.json,raw/rust-cell-1000000-r3-get_cold-random.stderr,raw/rust-cell-1000000-r3-get_cold-random.time
dolt-go,cell,1000000,3,get_cold,random,cold-manager,0,ok,30113792,raw/dolt-go-cell-1000000-r3-get_cold-random.json,raw/dolt-go-cell-1000000-r3-get_cold-random.stderr,raw/dolt-go-cell-1000000-r3-get_cold-random.time
dolt-go,cell,1000000,3,get_cold,clustered,cold-manager,0,ok,29589504,raw/dolt-go-cell-1000000-r3-get_cold-clustered.json,raw/dolt-go-cell-1000000-r3-get_cold-clustered.stderr,raw/dolt-go-cell-1000000-r3-get_cold-clustered.time
rust,cell,1000000,3,get_cold,clustered,cold-manager,0,ok,358350848,raw/rust-cell-1000000-r3-get_cold-clustered.json,raw/rust-cell-1000000-r3-get_cold-clustered.stderr,raw/rust-cell-1000000-r3-get_cold-clustered.time
