implementation,revision,contract_version,records,density,locality,operation,relationship,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_digest,result_count,base_count,target_count,conflict_count,validated,repetition,peak_rss_bytes
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,random,merge_disjoint,disjoint,200,655833,3279.165,304955.682,32df15894002290c,377e03cb0d8adf22,10000,10000,10000,0,true,1,48119808
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,random,merge_convergent,convergent,100,17333,173.330,5769341.718,0352b9f4e1a27b49,d8f03a954d666c5f,10000,10000,10000,0,true,1,48119808
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,random,merge_conflict,conflict,100,1192167,11921.670,83880.866,18de92c304607a16,d8f03a954d666c5f,10000,10000,10000,100,true,1,48119808
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,clustered,full_diff,compare,100,17875,178.750,5594405.594,dbbbf7e1737103cf,a7c61f8772a95be3,100,10000,10000,0,true,1,8372224
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,clustered,range_diff,compare,100,17875,178.750,5594405.594,dbbbf7e1737103cf,a7c61f8772a95be3,100,10000,10000,0,true,1,8372224
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,clustered,patch_generate,compare,100,21292,212.920,4696599.662,dbbbf7e1737103cf,a7c61f8772a95be3,100,10000,10000,0,true,1,8372224
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,clustered,patch_apply,compare,100,420708,4207.080,237694.553,dbbbf7e1737103cf,410f65ee53058013,10000,10000,10000,0,true,1,8372224
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,clustered,merge_disjoint,disjoint,200,450250,2251.250,444197.668,cb43d7aa514d4871,c4bdf0e690da4990,10000,10000,10000,0,true,1,8372224
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,clustered,merge_convergent,convergent,100,125,1.250,800000000.000,8c2e1c2c2fe65757,410f65ee53058013,10000,10000,10000,0,true,1,8372224
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,clustered,merge_conflict,conflict,100,303500,3035.000,329489.292,00b527e6fd2c9a07,410f65ee53058013,10000,10000,10000,100,true,1,8372224
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,clustered,full_diff,compare,100,28292,282.920,3534568.076,dbbbf7e1737103cf,a7c61f8772a95be3,100,10000,10000,0,true,1,46055424
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,clustered,range_diff,compare,100,32542,325.420,3072951.878,dbbbf7e1737103cf,a7c61f8772a95be3,100,10000,10000,0,true,1,46055424
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,clustered,patch_generate,compare,100,4250,42.500,23529411.765,dbbbf7e1737103cf,a7c61f8772a95be3,1,10000,10000,0,true,1,46055424
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,clustered,patch_apply,compare,100,26833,268.330,3726754.370,dbbbf7e1737103cf,410f65ee53058013,10000,10000,10000,0,true,1,46055424
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,clustered,merge_disjoint,disjoint,200,179875,899.375,1111883.252,cb43d7aa514d4871,c4bdf0e690da4990,10000,10000,10000,0,true,1,46055424
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,clustered,merge_convergent,convergent,100,28833,288.330,3468248.188,8c2e1c2c2fe65757,410f65ee53058013,10000,10000,10000,0,true,1,46055424
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,clustered,merge_conflict,conflict,100,113875,1138.750,878155.873,00b527e6fd2c9a07,410f65ee53058013,10000,10000,10000,100,true,1,46055424
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,append,full_diff,compare,3000,182958,60.986,16397205.916,5aba98d4c33e79fc,371a496b00a5243f,3000,10000,13000,0,true,1,15253504
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,append,range_diff,compare,1299,110125,84.777,11795686.720,5aba98d4c33e79fc,4a4a87e4dccebfd9,1299,10000,13000,0,true,1,15253504
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,append,patch_generate,compare,3000,216500,72.167,13856812.933,5aba98d4c33e79fc,371a496b00a5243f,3000,10000,13000,0,true,1,15253504
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,append,patch_apply,compare,3000,13689166,4563.055,219151.408,5aba98d4c33e79fc,f4a19c5b788fa4e1,13000,10000,13000,0,true,1,15253504
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,append,merge_disjoint,disjoint,6000,2463292,410.549,2435764.822,0390f3708d8de5ae,0c1080f6fceabcba,16000,10000,16000,0,true,1,15253504
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,append,merge_convergent,convergent,3000,375,0.125,8000000000.000,000b6ae1f3f7a699,f4a19c5b788fa4e1,13000,10000,13000,0,true,1,15253504
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,append,merge_conflict,conflict,3000,3434250,1144.750,873553.178,038c72e76306f5d7,f4a19c5b788fa4e1,13000,10000,13000,3000,true,1,15253504
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,30,append,full_diff,compare,3000,580791,193.597,5165369.298,5aba98d4c33e79fc,371a496b00a5243f,3000,10000,13000,0,true,1,48480256
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,30,append,range_diff,compare,1299,253375,195.054,5126788.357,5aba98d4c33e79fc,4a4a87e4dccebfd9,1299,10000,13000,0,true,1,48480256
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,30,append,patch_generate,compare,3000,5958,1.986,503524672.709,5aba98d4c33e79fc,371a496b00a5243f,2,10000,13000,0,true,1,48480256
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,30,append,patch_apply,compare,3000,34333,11.444,87379489.121,5aba98d4c33e79fc,f4a19c5b788fa4e1,13000,10000,13000,0,true,1,48480256
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,30,append,merge_disjoint,disjoint,6000,632708,105.451,9483047.472,0390f3708d8de5ae,0c1080f6fceabcba,16000,10000,16000,0,true,1,48480256
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,30,append,merge_convergent,convergent,3000,47875,15.958,62663185.379,000b6ae1f3f7a699,f4a19c5b788fa4e1,13000,10000,13000,0,true,1,48480256
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,30,append,merge_conflict,conflict,3000,2228333,742.778,1346297.883,038c72e76306f5d7,f4a19c5b788fa4e1,13000,10000,13000,3000,true,1,48480256
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,random,full_diff,compare,3000,530875,176.958,5651047.798,b8e1185153b6e972,c64b48b6e4468d2c,3000,10000,10000,0,true,1,24576000
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,random,range_diff,compare,327,66583,203.618,4911163.510,b8e1185153b6e972,b5ad3f98e3459b7d,327,10000,10000,0,true,1,24576000
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,random,patch_generate,compare,3000,491333,163.778,6105838.606,b8e1185153b6e972,c64b48b6e4468d2c,3000,10000,10000,0,true,1,24576000
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,random,patch_apply,compare,3000,8853125,2951.042,338863.396,b8e1185153b6e972,5a91922c35a5d419,10000,10000,10000,0,true,1,24576000
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,random,merge_disjoint,disjoint,6000,9729417,1621.570,616686.488,6aff3374fef618da,69b3dd07f84bbba0,10000,10000,10000,0,true,1,24576000
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,random,merge_convergent,convergent,3000,333,0.111,9009009009.009,0dcf01b99124b025,5a91922c35a5d419,10000,10000,10000,0,true,1,24576000
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,random,merge_conflict,conflict,3000,7449500,2483.167,402711.591,14b1c94981f9d1a6,5a91922c35a5d419,10000,10000,10000,3000,true,1,24576000
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,30,random,full_diff,compare,3000,1305417,435.139,2298116.234,b8e1185153b6e972,c64b48b6e4468d2c,3000,10000,10000,0,true,1,48529408
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,30,random,range_diff,compare,327,140667,430.174,2324639.041,b8e1185153b6e972,b5ad3f98e3459b7d,327,10000,10000,0,true,1,48529408
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,30,random,patch_generate,compare,3000,8541,2.847,351246926.589,b8e1185153b6e972,c64b48b6e4468d2c,3,10000,10000,0,true,1,48529408
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,30,random,patch_apply,compare,3000,12458,4.153,240809118.639,b8e1185153b6e972,5a91922c35a5d419,10000,10000,10000,0,true,1,48529408
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,30,random,merge_disjoint,disjoint,6000,4976208,829.368,1205737.381,6aff3374fef618da,69b3dd07f84bbba0,10000,10000,10000,0,true,1,48529408
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,30,random,merge_convergent,convergent,3000,313250,104.417,9577015.164,0dcf01b99124b025,5a91922c35a5d419,10000,10000,10000,0,true,1,48529408
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,30,random,merge_conflict,conflict,3000,2691625,897.208,1114568.337,14b1c94981f9d1a6,5a91922c35a5d419,10000,10000,10000,3000,true,1,48529408
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,clustered,full_diff,compare,3000,313042,104.347,9583378.588,7f395d4783d9afa6,9ad63afc51a24d9d,3000,10000,10000,0,true,1,17203200
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,clustered,range_diff,compare,1090,122291,112.194,8913166.137,7f395d4783d9afa6,d6dddabd601292e2,1090,10000,10000,0,true,1,17203200
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,clustered,patch_generate,compare,3000,372167,124.056,8060897.393,7f395d4783d9afa6,9ad63afc51a24d9d,3000,10000,10000,0,true,1,17203200
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,clustered,patch_apply,compare,3000,3026875,1008.958,991121.206,7f395d4783d9afa6,3edcab869b202ab0,10000,10000,10000,0,true,1,17203200
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,clustered,merge_disjoint,disjoint,6000,2658167,443.028,2257194.525,ef03cf1363d94170,9fb1060a89613f1c,10000,10000,10000,0,true,1,17203200
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,clustered,merge_convergent,convergent,3000,83,0.028,36144578313.253,787f080f522402c9,3edcab869b202ab0,10000,10000,10000,0,true,1,17203200
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,clustered,merge_conflict,conflict,3000,3266416,1088.805,918437.823,a4cf1e0f37cdcdf1,3edcab869b202ab0,10000,10000,10000,3000,true,1,17203200
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,30,clustered,full_diff,compare,3000,820875,273.625,3654636.820,7f395d4783d9afa6,9ad63afc51a24d9d,3000,10000,10000,0,true,1,46825472
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,30,clustered,range_diff,compare,1090,351083,322.094,3104678.951,7f395d4783d9afa6,d6dddabd601292e2,1090,10000,10000,0,true,1,46825472
