records,density,locality,operation,relationship,runs,rust_median_ns,go_median_ns,rust_median_ns_per_op,go_median_ns_per_op,rust_cv_percent,go_cv_percent,rust_vs_go,winner,winner_consistent
1000000,30,random,range_diff,compare,3,5207375,14263292,159.252,436.2,5.297987898693387,4.072309934499475,2.7390560503132577,rust,True
5000000,0,none,full_diff,compare,3,83,1667,83.0,1667.0,20.41132976620962,7.091986583237545,20.08433734939759,rust,True
5000000,0,none,merge_noop,noop,3,209,78458,209.0,78458.0,65.15026440229387,105.06033269947024,375.39712918660285,rust,True
5000000,0,none,patch_apply,compare,3,1416,375,1416.0,375.0,2.8182407125322184,9.144761706390533,0.2648305084745763,dolt-go,True
5000000,0,none,patch_generate,compare,3,4209,3708,4209.0,3708.0,40.96754045818977,75.22803528629494,0.8809693513898789,dolt-go,False
5000000,0,none,range_diff,compare,3,3917,3000,3917.0,3000.0,84.8082507912493,5.659801391044017,0.7658922644881286,dolt-go,True
5000000,1,append,full_diff,compare,3,3114666,10435500,62.293,208.71,7.5931409741170866,40.51583015428092,3.350439501378318,rust,True
5000000,1,append,merge_conflict,conflict,3,52599083,24884292,1051.982,497.686,0.6477912901539431,1.0572651225002947,0.47309364689874916,dolt-go,True
5000000,1,append,merge_convergent,convergent,3,208,73250,0.004,1.465,36.15520842011273,16.163184827502636,352.16346153846155,rust,True
5000000,1,append,merge_disjoint,disjoint,3,33112041,764791,331.12,7.648,1.4838935322563216,18.78749735911334,0.02309706610957627,dolt-go,True
5000000,1,append,patch_apply,compare,3,232102834,108833,4642.057,2.177,1.9286295615556308,12.114076632534482,0.0004688999187317118,dolt-go,True
5000000,1,append,patch_generate,compare,3,3838583,14250,76.772,0.285,3.940007612819792,14.715128107432502,0.003712307380093123,dolt-go,True
5000000,1,append,range_diff,compare,3,3574750,9646334,71.495,192.927,37.957237333934046,4.628061265861511,2.698463948527869,rust,True
5000000,1,clustered,full_diff,compare,3,62769084,14584875,1255.382,291.697,0.7628764772775616,18.564455682008912,0.2323576205126715,dolt-go,True
5000000,1,clustered,merge_conflict,conflict,3,123879209,31286625,2477.584,625.732,1.0106865895422386,2.0422153378432033,0.2525575135049498,dolt-go,True
5000000,1,clustered,merge_convergent,convergent,3,167,80625,0.003,1.613,84.87049789601838,3.5470949305183996,482.78443113772454,rust,True
5000000,1,clustered,merge_disjoint,disjoint,3,72983125,4640333,729.831,46.403,0.2975131336187501,20.540829843889586,0.06358090311972801,dolt-go,True
5000000,1,clustered,patch_apply,compare,3,71747416,114500,1434.948,2.29,0.7012965219069747,25.867050642263106,0.001595876289119597,dolt-go,True
5000000,1,clustered,patch_generate,compare,3,62890708,13375,1257.814,0.268,0.21827362655210417,27.62717512895907,0.0002126705267811582,dolt-go,True
5000000,1,clustered,range_diff,compare,3,1749125,2183417,218.641,272.927,1.6913903381669326,4.691807993720239,1.2482910026441791,rust,True
5000000,1,random,full_diff,compare,3,35475833,39348958,709.517,786.979,6.286269546780904,0.6905991290598944,1.109176435687923,rust,False
5000000,1,random,merge_conflict,conflict,3,873849208,95675500,17476.984,1913.51,4.149807157453907,3.3202231976284287,0.10948742543232928,dolt-go,True
5000000,1,random,merge_convergent,convergent,3,83,620584,0.002,12.412,71.96740002714192,4.906914736304126,7476.915662650603,rust,True
5000000,1,random,merge_disjoint,disjoint,3,1172013291,223433250,11720.133,2234.332,1.7865338933174528,13.981496246988273,0.19064054282981677,dolt-go,True
5000000,1,random,patch_apply,compare,3,887187417,122458,17743.748,2.449,0.5243192152574327,0.1671588146830437,0.0001380294599015937,dolt-go,True
5000000,1,random,patch_generate,compare,3,36671167,35125,733.423,0.703,1.6655641347671348,127.58895615147571,0.0009578369840261697,dolt-go,True
5000000,1,random,range_diff,compare,3,4290041,3641458,853.4,724.38,5.015712475874459,3.981526886883565,0.848816596391503,dolt-go,True
5000000,30,append,full_diff,compare,3,109745708,298250125,73.164,198.833,0.881489045919126,0.6335042863176942,2.717647281477286,rust,True
5000000,30,append,merge_conflict,conflict,3,1610035958,759759834,1073.357,506.507,3.3497310078259614,3.1750538986853343,0.4718899787454312,dolt-go,True
5000000,30,append,merge_convergent,convergent,3,209,115292,0.0,0.077,116.44703660358489,0.3152315931079619,551.6363636363636,rust,True
5000000,30,append,merge_disjoint,disjoint,3,1067861917,2050083,355.954,0.683,14.016972486847934,108.95147662968692,0.0019198015842342283,dolt-go,True
5000000,30,append,patch_apply,compare,3,6655340792,117083,4436.894,0.078,0.31149983745692955,12.436403884759695,1.759233729108789e-05,dolt-go,True
5000000,30,append,patch_generate,compare,3,126489166,43000,84.326,0.029,6.645497569065027,125.47519188555913,0.00033995006339119984,dolt-go,True
5000000,30,append,range_diff,compare,3,70283250,127395917,108.128,195.994,1.8354646126740572,12.230343413916007,1.8126070863256893,rust,True
5000000,30,clustered,full_diff,compare,3,212575167,468677250,141.717,312.452,0.706680130137737,2.165689695844205,2.2047601166885125,rust,True
5000000,30,clustered,merge_conflict,conflict,3,1979013083,1037441708,1319.342,691.628,4.765049641459261,2.4001243582871155,0.5242217532121287,dolt-go,True
5000000,30,clustered,merge_convergent,convergent,3,416,417209,0.0,0.278,29.625349090872994,5.321940241791717,1002.90625,rust,True
5000000,30,clustered,merge_disjoint,disjoint,3,1740632333,1155741542,580.211,385.247,2.1602852711413547,6.709952118521873,0.6639779809260845,dolt-go,True
5000000,30,clustered,patch_apply,compare,3,1827674750,129292,1218.45,0.086,1.85819494203941,3.8623698849151253,7.074125196509937e-05,dolt-go,True
5000000,30,clustered,patch_generate,compare,3,232021208,35334,154.681,0.024,3.2999673021148537,32.64458256949629,0.0001522878029322216,dolt-go,True
5000000,30,clustered,range_diff,compare,3,22211833,46225000,135.438,281.86,0.5116794212126345,1.6901020857220204,2.0810979445055255,rust,True
5000000,30,random,full_diff,compare,3,236195209,796526750,157.463,531.018,0.8434483562131954,2.478097285072979,3.3723239068748425,rust,True
5000000,30,random,merge_conflict,conflict,3,3954975875,1637263709,2636.651,1091.509,2.9747517444032447,2.1587612111066736,0.4139756501043132,dolt-go,True
