suite,revision_role,pair,schema,revision,dirty,adapter,records,repetition,api,pattern,configured_changes,observed_changes,total_ns,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,db_bytes_before,db_bytes_after,expected_records,observed_records,validated,error
sqlite-turso,candidate,2,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,put,clustered,100,100,14867917,6725.89173049594,70417,138458,269750,10818292,483328,35786616,10000,10000,true,
sqlite-turso,baseline,2,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,put,clustered,100,100,14867375,6726.136927332498,74625,194167,707708,18514250,483328,35786616,10000,10000,true,
sqlite-turso,candidate,2,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,batch,append,100,100,167042,598651.8360651812,167042,309417,1432958,1432958,483328,1612048,10100,10100,true,
sqlite-turso,baseline,2,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,batch,append,100,100,176583,566305.9297893909,176583,344791,1115667,1115667,483328,1612048,10100,10100,true,
sqlite-turso,candidate,2,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,batch,random,100,100,3824292,26148.630909982814,3824292,10920208,11240917,11240917,483328,17017216,10000,10000,true,
sqlite-turso,baseline,2,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,batch,random,100,100,3825959,26137.237748757892,3825959,10670125,10952834,10952834,483328,17017216,10000,10000,true,
sqlite-turso,candidate,2,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,batch,clustered,100,100,354458,282120.87186634244,354458,467542,1823250,1823250,483328,2778008,10000,10000,true,
sqlite-turso,baseline,2,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,batch,clustered,100,100,356500,280504.9088359046,356500,470334,1841583,1841583,483328,2778008,10000,10000,true,
sqlite-turso,candidate,2,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,diff,append,100,100,66625,1500938.08630394,66625,80750,104041,104041,483328,499712,10100,10100,true,
sqlite-turso,baseline,2,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,diff,append,100,100,68250,1465201.4652014652,68250,74584,95250,95250,483328,499712,10100,10100,true,
sqlite-turso,candidate,2,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,diff,random,100,100,2499709,40004.65654202149,2499709,3425584,3604000,3604000,483328,925696,10000,10000,true,
sqlite-turso,baseline,2,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,diff,random,100,100,2434167,41081.815668358,2434167,2731291,3287625,3287625,483328,925696,10000,10000,true,
sqlite-turso,candidate,2,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,diff,clustered,100,100,206167,485043.6781832204,206167,263250,274042,274042,483328,520192,10000,10000,true,
sqlite-turso,baseline,2,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,diff,clustered,100,100,207000,483091.78743961354,207000,221583,256792,256792,483328,520192,10000,10000,true,
sqlite-turso,candidate,2,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,merge,append,100,200,266584,750232.5720973501,266584,359125,474958,474958,483328,536576,10200,10200,true,
sqlite-turso,baseline,2,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,merge,append,100,200,288042,694343.1860631435,288042,341000,481250,481250,483328,536576,10200,10200,true,
sqlite-turso,candidate,2,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,merge,random,100,200,5004625,39963.03419337113,5004625,5711167,6061458,6061458,483328,1744896,10000,10000,true,
sqlite-turso,baseline,2,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,merge,random,100,200,5052875,39581.42641565445,5052875,5955083,5970709,5970709,483328,1744896,10000,10000,true,
sqlite-turso,candidate,2,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,merge,clustered,100,200,143250,1396160.5584642233,143250,161125,196625,196625,483328,540672,10000,10000,true,
sqlite-turso,baseline,2,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,merge,clustered,100,200,140458,1423913.1982514346,140458,152750,191458,191458,483328,540672,10000,10000,true,
sqlite-turso,candidate,2,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,turso-async,10000,1,put,append,100,100,32323625,3093.7124162280684,288125,391917,1170542,4445542,515008,32021080,10100,10100,true,
sqlite-turso,baseline,2,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,turso-async,10000,1,put,append,100,100,95003625,1052.5914142749816,896125,1214250,2913208,11475750,515008,32021080,10100,10100,true,
sqlite-turso,candidate,2,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,turso-async,10000,1,put,random,100,100,50236791,1990.5730045535752,416209,863333,2390417,5946625,515008,54928032,10000,10000,true,
sqlite-turso,baseline,2,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,turso-async,10000,1,put,random,100,100,114191834,875.7193618590976,1087208,1647875,3047625,8527583,515008,54928032,10000,10000,true,
sqlite-turso,candidate,2,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,turso-async,10000,1,put,clustered,100,100,26266875,3807.076403264568,215917,432000,1203250,2868042,515008,25960200,10000,10000,true,
sqlite-turso,baseline,2,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,turso-async,10000,1,put,clustered,100,100,88482667,1130.1648491223712,844625,1290250,2548041,6194292,515008,25960200,10000,10000,true,
sqlite-turso,candidate,2,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,turso-async,10000,1,batch,append,100,100,1431209,69870.99717791042,1431209,1668000,2939208,2939208,515008,1590328,10100,10100,true,
sqlite-turso,baseline,2,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,turso-async,10000,1,batch,append,100,100,1410708,70886.39179759384,1410708,1916542,1983875,1983875,515008,1590328,10100,10100,true,
sqlite-turso,candidate,2,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,turso-async,10000,1,batch,random,100,100,7970125,12546.854660372328,7970125,10907084,11917625,11917625,515008,13533376,10000,10000,true,
sqlite-turso,baseline,2,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,turso-async,10000,1,batch,random,100,100,7517292,13302.662714179522,7517292,10202875,10311625,10311625,515008,13533376,10000,10000,true,
sqlite-turso,candidate,2,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,turso-async,10000,1,batch,clustered,100,100,2439000,41000.41000410004,2439000,2993166,3030833,3030833,515008,2121808,10000,10000,true,
