revision,adapter,records,changes,api,pattern,run,total_ns,operations_per_sec,p50_ns,p95_ns,root,node_count,byte_count,value_valid,count_valid,root_valid,reopen_valid
sqlite-balanced6-final-v2,memory-sync,1000000,150000,build,random,4,715958083,1396729.813859787,715958083,715958083,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,build,clustered,4,433514125,2306729.913356341,433514125,433514125,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,build,clustered,4,443901125,2252753.9212701926,443901125,443901125,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,diff,append,4,17036541,8804604.174051529,17036541,17036541,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,diff,append,4,17696250,8476372.112735748,17696250,17696250,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,diff,random,4,109421917,1370840.541936402,109421917,109421917,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,diff,random,4,104586084,1434225.2263695044,104586084,104586084,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,diff,clustered,4,22178666,6763256.185020326,22178666,22178666,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,diff,clustered,4,23656417,6340774.26010879,23656417,23656417,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,merge,append,4,85969916,3489592.8012771355,85969916,85969916,7a4b61ffc8e32f0f372fa3aaebab6988885f71128384f51c1a0a428722c276dc,9974,38456519,true,true,true,true
