suite,revision_role,pair,revision,facade,api,records,items_per_sample,samples,median_ns,p95_ns,throughput_items_per_sec,publication_calls,request_allocations,root
foundation,candidate,1,81357948363fdb51dbc201ae5ba1a7377bb297e0,native_async,forward,10000,1024,300,79042,99250,12955137.775,307200,0,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527
foundation,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,sync_ready,put,10000,1,300,32417,39875,30848.012,300,0,1bb684eb5258165e7cb93377062996a87f2ee253b0107fda9402eee786a99a58
foundation,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,async_over_sync,put,10000,1,300,238333,270208,4195.810,300,0,1bb684eb5258165e7cb93377062996a87f2ee253b0107fda9402eee786a99a58
foundation,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,native_async,put,10000,1,300,238208,274250,4198.012,300,0,1bb684eb5258165e7cb93377062996a87f2ee253b0107fda9402eee786a99a58
foundation,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,sync_ready,delete,10000,1,300,20333,23833,49181.134,300,0,3bc4408758b15ce633f645d50cda57da461b13bb69231b4eb811843afdbe1fff
foundation,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,async_over_sync,delete,10000,1,300,106792,118834,9363.997,300,0,3bc4408758b15ce633f645d50cda57da461b13bb69231b4eb811843afdbe1fff
foundation,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,native_async,delete,10000,1,300,103125,118250,9696.970,300,0,3bc4408758b15ce633f645d50cda57da461b13bb69231b4eb811843afdbe1fff
foundation,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,sync_ready,batch,10000,1,300,39541,46458,25290.205,300,0,e3579c9ec3f4a03c84f73692a9475932a6ee7fe69c9e34f9da70eef58f01517f
foundation,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,async_over_sync,batch,10000,1,300,330708,412875,3023.816,300,0,e3579c9ec3f4a03c84f73692a9475932a6ee7fe69c9e34f9da70eef58f01517f
foundation,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,native_async,batch,10000,1,300,319834,386416,3126.622,300,0,e3579c9ec3f4a03c84f73692a9475932a6ee7fe69c9e34f9da70eef58f01517f
foundation,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,sync_ready,build,10000,100,300,50833,60917,1967226.015,300,0,6cbb98e8071c96a42e9f537cc779cf715cbc46058ce7e9384a24e720ba6aca4a
foundation,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,async_over_sync,build,10000,100,300,51708,65167,1933936.722,300,0,6cbb98e8071c96a42e9f537cc779cf715cbc46058ce7e9384a24e720ba6aca4a
foundation,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,native_async,build,10000,100,300,53875,66250,1856148.492,300,0,6cbb98e8071c96a42e9f537cc779cf715cbc46058ce7e9384a24e720ba6aca4a
foundation,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,sync_ready,merge,10000,2,300,62416,77792,32043.066,300,0,e8d1d22489386cad8c25204d0a6c140c5c2cbebd4ebc450f2aca73ca4a3f96ab
foundation,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,async_over_sync,merge,10000,2,300,302542,368292,6610.652,300,0,e8d1d22489386cad8c25204d0a6c140c5c2cbebd4ebc450f2aca73ca4a3f96ab
foundation,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,native_async,merge,10000,2,300,303167,357958,6597.024,300,0,e8d1d22489386cad8c25204d0a6c140c5c2cbebd4ebc450f2aca73ca4a3f96ab
foundation,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,sync_ready,range-delete,10000,100,300,69625,82166,1436265.709,300,0,1f681dd2854cf53aa763f95fe9e2611e5c6d1a02177d082fc0d4f806b69d7e7c
foundation,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,async_over_sync,range-delete,10000,100,300,385292,430333,259543.411,300,0,1f681dd2854cf53aa763f95fe9e2611e5c6d1a02177d082fc0d4f806b69d7e7c
foundation,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,native_async,range-delete,10000,100,300,379708,441333,263360.266,300,0,1f681dd2854cf53aa763f95fe9e2611e5c6d1a02177d082fc0d4f806b69d7e7c
foundation,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,sync_ready,forward,10000,1024,300,76208,89000,13436909.511,307200,0,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527
foundation,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,async_over_sync,forward,10000,1024,300,77000,92708,13298701.299,307200,0,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527
foundation,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,native_async,forward,10000,1024,300,78166,92042,13100324.949,307200,0,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527
foundation,baseline,2,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sync_ready,put,10000,1,300,32459,37292,30808.096,300,0,1bb684eb5258165e7cb93377062996a87f2ee253b0107fda9402eee786a99a58
