implementation,revision,records,phase,workload,operation,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_count,validated,run
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,fresh,clustered,write,1000000,1585858709,1585.859,630573.199,97982a098e54aeae,1000000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,fresh,clustered,point_read,100000,141521125,1415.211,706608.289,97982a098e54aeae,1000000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,fresh,clustered,range_scan,1000000,25819291,25.819,38730730.445,97982a098e54aeae,1000000,true,1
rust,b087770d79b5+src.b85a0408b624,1000000,fresh,clustered,write,1000000,393210958,393.211,2543164.120,97982a098e54aeae,1000000,true,1
rust,b087770d79b5+src.b85a0408b624,1000000,fresh,clustered,point_read,100000,52676833,526.768,1898367.732,97982a098e54aeae,1000000,true,1
rust,b087770d79b5+src.b85a0408b624,1000000,fresh,clustered,range_scan,1000000,7488416,7.488,133539589.681,97982a098e54aeae,1000000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,mutation,append,write,300000,503744417,1679.148,595540.099,5b78f26021f8f5fe,1300000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,mutation,append,point_read,100000,64486416,644.864,1550714.185,5b78f26021f8f5fe,1300000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,mutation,append,range_scan,1300000,35132875,27.025,37002380.249,5b78f26021f8f5fe,1300000,true,1
rust,b087770d79b5+src.b85a0408b624,1000000,mutation,append,write,300000,91547417,305.158,3276990.327,5b78f26021f8f5fe,1300000,true,1
rust,b087770d79b5+src.b85a0408b624,1000000,mutation,append,point_read,100000,15705250,157.053,6367297.560,5b78f26021f8f5fe,1300000,true,1
rust,b087770d79b5+src.b85a0408b624,1000000,mutation,append,range_scan,1300000,9126291,7.020,142445600.299,5b78f26021f8f5fe,1300000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,mutation,random,write,300000,773726500,2579.088,387733.909,31410e2e26ae4359,1150000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,mutation,random,point_read,100000,143669083,1436.691,696043.978,31410e2e26ae4359,1150000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,mutation,random,range_scan,1150000,31135541,27.074,36935282.416,31410e2e26ae4359,1150000,true,1
rust,b087770d79b5+src.b85a0408b624,1000000,mutation,random,write,300000,768853708,2562.846,390191.264,31410e2e26ae4359,1150000,true,1
rust,b087770d79b5+src.b85a0408b624,1000000,mutation,random,point_read,100000,50781125,507.811,1969235.617,31410e2e26ae4359,1150000,true,1
rust,b087770d79b5+src.b85a0408b624,1000000,mutation,random,range_scan,1150000,6110542,5.314,188199344.674,31410e2e26ae4359,1150000,true,1
rust,b087770d79b5+src.b85a0408b624,1000000,mutation,clustered,write,300000,163447625,544.825,1835450.347,800dca3c814e1e50,1150000,true,1
rust,b087770d79b5+src.b85a0408b624,1000000,mutation,clustered,point_read,100000,14296667,142.967,6994637.282,800dca3c814e1e50,1150000,true,1
rust,b087770d79b5+src.b85a0408b624,1000000,mutation,clustered,range_scan,1150000,7987958,6.946,143966705.884,800dca3c814e1e50,1150000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,mutation,clustered,write,300000,356299833,1187.666,841987.484,800dca3c814e1e50,1150000,true,1
