workload,base_entries,mutations,workers,effective_workers,callers,run,elapsed_ns,ops_per_sec,p50_ns,p95_ns,p99_ns,peak_rss_bytes,nodes_read,nodes_written,bytes_read,bytes_written,batch_get_calls,batch_put_calls,parallel_tasks,structural_islands,coalesced_islands,root
append,100000,10000,4,1,4,5,2176875,18374964.111,1736375,1860667,1866334,66076672,12,619,9116,883283,0,4,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9|262b0fe697304c406b50e454a1e25fe57467990a283cfcf348ad510486fb113e|dd30142f52fe2478b013de6fd38c0839eea9ca5fb35b7f9876f06387820fe8af
append,100000,10000,4,1,4,6,2268208,17635066.978,1736375,1860667,1866334,66076672,12,619,9116,883283,0,4,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9|262b0fe697304c406b50e454a1e25fe57467990a283cfcf348ad510486fb113e|dd30142f52fe2478b013de6fd38c0839eea9ca5fb35b7f9876f06387820fe8af
append,100000,10000,4,1,4,7,2203083,18156374.499,1736375,1860667,1866334,66289664,12,619,9116,883283,0,4,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9|262b0fe697304c406b50e454a1e25fe57467990a283cfcf348ad510486fb113e|dd30142f52fe2478b013de6fd38c0839eea9ca5fb35b7f9876f06387820fe8af
append,100000,10000,4,1,4,8,2113792,18923337.774,1736375,1860667,1866334,66289664,12,619,9116,883283,0,4,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9|262b0fe697304c406b50e454a1e25fe57467990a283cfcf348ad510486fb113e|dd30142f52fe2478b013de6fd38c0839eea9ca5fb35b7f9876f06387820fe8af
append,100000,10000,12,1,4,1,2223167,17992350.552,1744083,1850583,1944000,65372160,12,619,9116,883283,0,4,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9|262b0fe697304c406b50e454a1e25fe57467990a283cfcf348ad510486fb113e|dd30142f52fe2478b013de6fd38c0839eea9ca5fb35b7f9876f06387820fe8af
append,100000,10000,12,1,4,2,2180375,18345468.096,1744083,1850583,1944000,66027520,12,619,9116,883283,0,4,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9|262b0fe697304c406b50e454a1e25fe57467990a283cfcf348ad510486fb113e|dd30142f52fe2478b013de6fd38c0839eea9ca5fb35b7f9876f06387820fe8af
append,100000,10000,12,1,4,3,2219583,18021403.119,1744083,1850583,1944000,66027520,12,619,9116,883283,0,4,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9|262b0fe697304c406b50e454a1e25fe57467990a283cfcf348ad510486fb113e|dd30142f52fe2478b013de6fd38c0839eea9ca5fb35b7f9876f06387820fe8af
append,100000,10000,12,1,4,4,2201333,18170808.324,1744083,1850583,1944000,66076672,12,619,9116,883283,0,4,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9|262b0fe697304c406b50e454a1e25fe57467990a283cfcf348ad510486fb113e|dd30142f52fe2478b013de6fd38c0839eea9ca5fb35b7f9876f06387820fe8af
append,100000,10000,12,1,4,5,2352708,17001684.867,1744083,1850583,1944000,66076672,12,619,9116,883283,0,4,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9|262b0fe697304c406b50e454a1e25fe57467990a283cfcf348ad510486fb113e|dd30142f52fe2478b013de6fd38c0839eea9ca5fb35b7f9876f06387820fe8af
append,100000,10000,12,1,4,6,2177667,18368281.285,1744083,1850583,1944000,66076672,12,619,9116,883283,0,4,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9|262b0fe697304c406b50e454a1e25fe57467990a283cfcf348ad510486fb113e|dd30142f52fe2478b013de6fd38c0839eea9ca5fb35b7f9876f06387820fe8af
