workload,base_entries,mutations,workers,effective_workers,callers,run,elapsed_ns,ops_per_sec,p50_ns,p95_ns,p99_ns,peak_rss_bytes,nodes_read,nodes_written,bytes_read,bytes_written,batch_get_calls,batch_put_calls,parallel_tasks,structural_islands,coalesced_islands,root
value-only,1000000,100000,0,12,1,14,228032209,438534.541,226117666,229345750,231346416,855375872,14912,14912,27820240,27220240,36,1,12,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,0,12,1,15,224496083,445442.070,226117666,229345750,231346416,860258304,14912,14912,27820240,27220240,36,1,12,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,0,12,1,16,227034584,440461.529,226117666,229345750,231346416,875315200,14912,14912,27820240,27220240,36,1,12,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,0,12,1,17,224453167,445527.240,226117666,229345750,231346416,884965376,14912,14912,27820240,27220240,36,1,12,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,0,12,1,18,227911209,438767.362,226117666,229345750,231346416,889782272,14912,14912,27820240,27220240,36,1,12,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,0,12,1,19,227727958,439120.435,226117666,229345750,231346416,904527872,14912,14912,27820240,27220240,36,1,12,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,0,12,1,20,226009250,442459.767,226117666,229345750,231346416,914161664,14912,14912,27820240,27220240,36,1,12,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,0,12,1,21,225534709,443390.733,226117666,229345750,231346416,918978560,14912,14912,27820240,27220240,36,1,12,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,0,12,1,22,231346416,432252.212,226117666,229345750,231346416,947421184,14912,14912,27820240,27220240,36,1,12,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,0,12,1,23,225289541,443873.247,226117666,229345750,231346416,957071360,14912,14912,27820240,27220240,36,1,12,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,0,12,1,24,227107375,440320.355,226117666,229345750,231346416,961937408,14912,14912,27820240,27220240,36,1,12,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,0,12,1,25,227485541,439588.378,226117666,229345750,231346416,976732160,14912,14912,27820240,27220240,36,1,12,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,0,12,1,26,226165500,442154.086,226117666,229345750,231346416,986415104,14912,14912,27820240,27220240,36,1,12,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,0,12,1,27,225644250,443175.485,226117666,229345750,231346416,991232000,14912,14912,27820240,27220240,36,1,12,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,0,12,1,28,227927666,438735.682,226117666,229345750,231346416,1005682688,14912,14912,27820240,27220240,36,1,12,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,0,12,1,29,224859666,444721.820,226117666,229345750,231346416,1015316480,14912,14912,27820240,27220240,36,1,12,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
